Home Depot PE Ratio Historical Data,Home Depot PE Ratio Historical Data,Home Depot PE Ratio Historical Data,Home Depot PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,368.5,,24.8
2024-07-31,365.92,$14.86,24.62
2024-04-30,332.18,$14.91,22.28
2024-01-31,348.73,$15.10,23.09
2023-10-31,279.4,$15.58,17.93
2023-07-31,325.58,$16.01,20.34
2023-04-30,290.96,$16.41,17.73
2023-01-31,311.6,$15.80,19.72
2022-10-31,282.99,$16.42,17.23
2022-07-31,285.7,$16.71,17.1
2022-01-31,344.13,$15.52,22.17
2021-10-31,347.16,$14.96,23.21
2021-07-31,304.93,$15.13,20.15
2021-04-30,299.16,$13.78,21.71
2021-01-31,248.77,$13.94,17.85
2022-04-30,283.38,$13.37,21.2
2020-10-31,243.65,$11.56,21.08
2020-07-31,241.27,$10.91,22.11
2020-04-30,198.59,$10.06,19.74
2020-01-31,204.62,$10.25,19.96
2019-10-31,209.1,$10.06,20.79
2019-07-31,189.33,$10.04,18.86
2019-04-30,179.24,$9.92,18.07
2019-01-31,160.29,$9.73,16.47
2018-10-31,152.72,$9.16,16.67
2018-07-31,170.64,$8.49,20.1
2018-04-30,158.78,$7.69,20.65
2018-01-31,171.62,$7.28,23.57
2017-10-31,140.91,$7.20,19.57
2017-07-31,126.41,$6.96,18.16
2017-04-30,131.14,$6.68,19.63
2017-01-31,114.88,$6.45,17.81
2016-10-31,101.34,$6.18,16.4
2016-07-31,114.24,$5.93,19.26
2016-04-30,110.07,$5.69,19.34
2016-01-31,102.82,$5.46,18.83
2015-10-31,100.65,$5.34,18.85
2015-07-31,94.77,$5.14,18.44
2015-04-30,86.18,$4.93,17.48
2015-01-31,83.68,$4.45,18.8
2014-10-31,77.78,$4.35,17.88
2014-07-31,64.15,$4.44,14.45
2014-01-31,60.27,$3.75,16.07
2013-10-31,60.79,$3.70,16.43
2013-07-31,61.35,$3.75,16.36
2013-04-30,56.66,$3.14,18.04
2013-01-31,51.41,$3.32,15.48
2014-04-30,62.72,$3.32,18.89
2012-10-31,46.94,$2.82,16.65
2012-07-31,39.7,$2.79,14.23
2012-04-30,39.17,$2.64,14.84
2012-01-31,33.37,$2.46,13.56
2011-10-31,26.71,$2.32,11.51
2011-07-31,25.87,$2.23,11.6
2011-04-30,27.32,$2.09,13.07
2011-01-31,26.86,$2.02,13.3
2010-10-31,22.4,$1.86,12.04
2010-07-31,20.49,$1.76,11.64
2010-04-30,25.14,$1.70,14.79
2010-01-31,19.84,$1.57,12.64
2009-10-31,17.63,$1.34,13.16
