EOG Resources PE Ratio Historical Data,EOG Resources PE Ratio Historical Data,EOG Resources PE Ratio Historical Data,EOG Resources PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,128.82,,9.95
2024-06-30,125.01,$12.95,9.65
2024-03-31,126.1,$12.66,9.96
2023-12-31,118.34,$13.01,9.1
2023-09-30,121.76,$13.46,9.05
2023-06-30,109.16,$14.84,7.36
2023-03-31,108.61,$15.99,6.79
2022-12-31,120.75,$13.21,9.14
2022-09-30,102.3,$12.73,8.04
2022-06-30,99.15,$9.75,10.17
2022-03-31,104.96,$7.49,14.01
2021-12-31,76.96,$7.98,9.64
2021-09-30,67.65,$5.17,13.08
2021-06-30,69.04,$3.22,21.44
2021-03-31,59.67,$0.10,596.73
2020-12-31,40.78,$-1.04,0.0
2020-09-30,29.11,$-0.52,0.0
2020-06-30,40.71,$0.61,66.73
2020-03-31,28.59,$3.64,7.86
2019-12-31,66.46,$4.72,14.08
2019-09-30,58.64,$5.16,11.36
2019-06-30,73.36,$6.15,11.93
2019-03-31,74.79,$5.89,12.7
2018-12-31,68.38,$5.89,11.61
2018-09-30,99.84,$8.55,11.68
2018-06-30,97.24,$6.67,14.58
2018-03-31,82.13,$5.51,14.91
2017-12-31,84.07,$4.46,18.85
2017-09-30,75.23,$0.01,7523.37
2017-06-30,70.27,$-0.51,0.0
2017-03-31,75.6,$-1.08,0.0
2016-12-31,78.22,$-1.99,0.0
2016-09-30,74.7,$-2.26,0.0
2016-06-30,64.3,$-9.38,0.0
2016-03-31,55.83,$-8.84,0.0
2015-12-31,54.31,$-8.29,0.0
2015-09-30,55.74,$-6.96,0.0
2015-06-30,66.9,$2.52,26.55
2015-03-31,69.94,$3.80,18.41
2014-12-31,70.1,$5.32,13.18
2014-09-30,75.25,$5.57,13.51
2014-06-30,88.71,$4.41,20.14
2014-03-31,74.36,$4.33,17.19
2013-12-31,63.55,$4.03,15.79
2013-09-30,64.03,$2.03,31.62
2013-06-30,49.74,$1.84,27.11
2013-03-31,48.31,$1.36,35.52
2012-12-31,45.5,$1.05,43.33
2012-09-30,42.14,$2.22,19.03
2012-06-30,33.83,$2.57,13.19
2012-03-31,41.64,$2.38,17.5
2011-12-31,36.87,$2.04,18.07
2011-09-30,26.52,$1.92,13.81
2011-06-30,38.98,$0.78,50.3
2011-03-31,44.13,$0.35,127.9
2010-12-31,33.98,$0.32,107.88
2010-09-30,34.51,$1.00,34.51
2010-06-30,36.46,$1.15,31.7
2010-03-31,34.4,$1.00,34.57
2009-12-31,35.96,$1.08,33.29
