DHT Holdings PE Ratio Historical Data,DHT Holdings PE Ratio Historical Data,DHT Holdings PE Ratio Historical Data,DHT Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,11.33,,11.68
2024-06-30,11.28,$0.97,11.63
2024-03-31,10.95,$1.05,10.43
2023-12-31,9.16,$0.99,9.25
2023-09-30,9.44,$1.15,8.21
2023-06-30,7.55,$1.00,7.55
2023-03-31,9.3,$0.71,13.1
2022-12-31,7.39,$0.38,19.44
2022-09-30,6.27,$-0.02,0.0
2022-06-30,5.06,$-0.19,0.0
2022-03-31,4.77,$-0.25,0.0
2021-12-31,4.25,$-0.08,0.0
2021-09-30,5.33,$-0.02,0.0
2021-06-30,5.28,$0.42,12.57
2021-03-31,4.79,$1.23,3.9
2020-12-31,4.19,$1.60,2.62
2020-09-30,3.98,$2.03,1.96
2020-06-30,3.65,$1.65,2.21
2020-03-31,5.15,$0.77,6.69
2019-12-31,5.26,$0.45,11.7
2019-09-30,3.88,$0.06,64.71
2019-06-30,3.72,$-0.02,0.0
2019-03-31,2.77,$-0.15,0.0
2018-12-31,2.41,$-0.33,0.0
2018-09-30,2.87,$-0.46,0.0
2018-06-30,2.85,$-0.27,0.0
2018-03-31,2.06,$0.08,25.71
2017-12-31,2.16,$0.32,6.75
2017-06-30,2.47,$-0.44,0.0
2017-03-31,2.61,$-0.14,0.0
2016-12-31,2.38,$0.01,0.0
2016-09-30,2.4,$0.14,17.13
2016-06-30,2.75,$1.22,2.26
2016-03-31,3.02,$1.12,2.69
2015-12-31,4.07,$1.07,3.8
2015-09-30,3.64,$1.07,3.4
2015-06-30,3.74,$0.70,5.34
2015-03-31,3.29,$0.34,9.68
2014-12-31,3.42,$0.08,42.77
2014-09-30,2.87,$0.25,11.5
2014-06-30,3.35,$0.09,37.21
2014-03-31,3.61,$-0.29,0.0
2013-12-31,3.16,$-0.52,0.0
2013-09-30,2.01,$-1.41,0.0
2013-06-30,2.06,$-7.42,0.0
2013-03-31,2.18,$-6.68,0.0
2012-12-31,1.86,$-5.24,0.0
2012-09-30,2.83,$-3.99,0.0
2012-06-30,3.25,$-7.56,0.0
2012-03-31,4.88,$-6.96,0.0
2011-12-31,3.66,$-7.32,0.0
2011-09-30,9.88,$-6.48,0.0
2011-06-30,18.06,$4.20,4.3
2011-03-31,22.17,$2.88,7.69
2010-12-31,21.02,$1.56,13.47
2010-09-30,18.27,$0.84,21.74
2010-06-30,16.59,$-0.04,0.0
2010-03-31,16.49,$0.68,24.24
2009-12-31,15.48,$2.36,6.56
2017-09-30,2.38,$3.44,0.69
