Zoetis PE Ratio Historical Data,Zoetis PE Ratio Historical Data,Zoetis PE Ratio Historical Data,Zoetis PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,183.49,,34.95
2024-06-30,172.94,$5.25,32.94
2023-12-31,195.9,$5.07,38.64
2023-09-30,172.27,$4.92,35.01
2023-06-30,170.15,$4.94,34.44
2023-03-31,164.09,$4.62,35.52
2022-12-31,144.15,$4.55,31.68
2024-03-31,168.33,$4.82,34.92
2022-09-30,145.55,$4.38,33.23
2022-06-30,168.4,$4.41,38.19
2022-03-31,184.44,$4.36,42.3
2021-12-31,238.28,$4.27,55.8
2021-09-30,189.34,$4.15,45.62
2021-06-30,181.53,$3.99,45.5
2021-03-31,153.17,$3.71,41.29
2020-12-31,160.72,$3.42,46.99
2020-09-30,160.39,$3.47,46.22
2020-06-30,132.73,$3.37,39.39
2020-03-31,113.81,$3.35,33.97
2019-12-31,127.8,$3.12,40.96
2019-09-30,120.15,$3.03,39.65
2019-06-30,109.29,$2.84,38.48
2019-03-31,96.79,$2.86,33.84
2018-12-31,82.08,$2.93,28.01
2018-09-30,87.73,$2.38,36.86
2018-06-30,81.51,$2.28,35.75
2018-03-31,79.78,$1.99,40.09
2017-12-31,68.71,$1.75,39.26
2017-09-30,60.72,$1.90,31.96
2017-06-30,59.41,$1.77,33.56
2017-03-31,50.64,$1.72,29.44
2016-12-31,50.69,$1.65,30.72
2016-09-30,49.15,$1.38,35.62
2016-06-30,44.85,$1.28,35.04
2016-03-31,41.72,$0.76,54.9
2015-12-31,45.0,$0.68,66.18
2015-09-30,38.61,$0.89,43.38
2015-06-30,45.13,$0.84,53.72
2015-03-31,43.24,$1.18,36.65
2014-12-31,40.12,$1.16,34.59
2014-09-30,34.39,$1.12,30.7
2014-06-30,29.97,$1.05,28.54
2014-03-31,26.81,$1.04,25.78
2013-12-31,30.22,$1.01,29.92
