Armstrong World Industries PE Ratio Historical Data,Armstrong World Industries PE Ratio Historical Data,Armstrong World Industries PE Ratio Historical Data,Armstrong World Industries PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,141.19,,25.76
2024-06-30,112.98,$5.48,20.62
2024-03-31,123.63,$5.32,23.24
2023-12-31,97.63,$5.00,19.53
2023-09-30,71.24,$5.01,14.22
2023-06-30,72.44,$4.70,15.41
2023-03-31,69.99,$4.47,15.66
2022-12-31,67.17,$4.37,15.37
2022-09-30,77.32,$4.18,18.5
2022-06-30,72.96,$3.99,18.29
2022-03-31,87.38,$4.02,21.74
2021-12-31,112.44,$3.82,29.43
2021-09-30,92.25,$3.41,27.05
2021-06-30,103.43,$3.48,29.72
2021-03-31,86.7,$3.39,25.58
2020-12-31,71.42,$-2.06,0.0
2020-09-30,65.84,$-1.57,0.0
2020-06-30,74.38,$-1.22,0.0
2020-03-31,75.57,$-1.18,0.0
2019-12-31,89.25,$4.31,20.71
2019-09-30,91.65,$4.05,22.63
2019-06-30,92.12,$4.03,22.86
2019-03-31,75.27,$3.83,19.65
2018-12-31,55.04,$3.56,15.46
2018-09-30,65.64,$3.49,18.81
2018-06-30,59.6,$2.95,20.2
2018-03-31,53.1,$2.83,18.76
2017-12-31,57.1,$2.88,19.83
2017-09-30,48.33,$2.74,17.64
2017-06-30,43.38,$3.08,14.09
2017-03-31,43.43,$2.61,16.64
2016-12-31,39.42,$1.87,21.08
2016-09-30,38.97,$1.13,34.49
2016-06-30,36.92,$0.44,83.91
2016-03-31,39.52,$0.67,58.99
2015-12-31,37.36,$1.68,22.24
2015-09-30,39.01,$1.87,20.86
2015-06-30,43.53,$1.87,23.28
2015-03-31,46.96,$1.68,27.95
2014-12-31,41.77,$1.15,36.32
2014-09-30,45.76,$1.41,32.45
2014-06-30,46.92,$1.69,27.77
2014-03-31,43.51,$1.85,23.52
2013-12-31,47.07,$1.60,29.42
2013-09-30,44.91,$1.54,29.16
2013-06-30,39.05,$1.74,22.44
2013-03-31,45.67,$1.94,23.54
2012-12-31,41.45,$2.20,18.84
2012-09-30,37.89,$2.20,17.22
2012-06-30,40.17,$2.04,19.69
2012-03-31,39.85,$1.98,20.13
2011-12-31,30.5,$1.90,16.05
2011-09-30,23.94,$1.40,17.1
2011-06-30,31.67,$0.93,34.06
2011-03-31,32.17,$0.75,42.89
2010-12-31,29.89,$0.18,166.07
2010-09-30,21.6,$0.47,45.95
2010-06-30,15.7,$1.17,13.42
2010-03-31,18.89,$1.21,15.61
2009-12-31,20.25,$1.35,15.0
