Alamo PE Ratio Historical Data,Alamo PE Ratio Historical Data,Alamo PE Ratio Historical Data,Alamo PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,179.83,,16.47
2024-06-30,172.51,$10.92,15.8
2023-12-31,209.07,$11.36,18.4
2023-09-30,171.72,$11.17,15.37
2023-06-30,182.49,$10.93,16.7
2023-03-31,182.51,$10.06,18.14
2022-12-31,140.13,$9.66,14.51
2024-03-31,227.41,$8.77,25.93
2022-09-30,120.85,$7.72,15.65
2022-06-30,114.9,$7.03,16.34
2022-03-31,141.71,$6.83,20.75
2021-12-31,144.89,$6.75,21.46
2021-09-30,137.23,$5.81,23.62
2021-06-30,150.01,$6.03,24.88
2021-03-31,153.29,$4.94,31.03
2020-12-31,135.3,$4.78,28.3
2020-09-30,105.83,$4.91,21.55
2020-06-30,100.42,$4.69,21.41
2020-03-31,86.74,$5.34,16.24
2019-12-31,122.54,$5.33,22.99
2019-09-30,114.78,$5.93,19.36
2019-06-30,97.32,$6.46,15.06
2019-03-31,97.21,$6.31,15.41
2018-12-31,75.1,$6.25,12.02
2018-09-30,88.86,$5.11,17.39
2018-06-30,87.54,$4.53,19.32
2018-03-31,106.37,$3.98,26.73
2017-12-31,109.14,$3.39,32.19
2017-09-30,103.72,$4.26,24.35
2017-06-30,87.63,$3.76,23.31
2016-12-31,73.24,$3.46,21.17
2016-09-30,63.33,$3.80,16.67
2016-06-30,63.32,$3.71,17.07
2016-03-31,53.39,$4.07,13.12
2015-12-31,49.84,$4.16,11.98
2017-03-31,73.42,$3.81,19.27
2015-09-30,44.64,$3.76,11.87
2015-06-30,52.09,$3.58,14.55
2015-03-31,60.11,$3.49,17.22
2014-12-31,46.05,$3.44,13.39
2014-09-30,38.91,$2.93,13.28
2014-06-30,51.26,$2.76,18.57
2014-03-31,51.42,$2.98,17.25
2013-12-31,57.37,$2.96,19.38
2013-09-30,46.16,$2.82,16.37
2013-06-30,38.46,$2.60,14.79
2013-03-31,35.98,$2.40,14.99
2012-12-31,30.64,$2.39,12.82
2012-09-30,31.65,$2.66,11.9
2012-06-30,29.33,$2.79,10.51
2012-03-31,28.05,$2.76,10.16
2011-12-31,25.08,$2.67,9.39
2011-09-30,19.31,$2.39,8.08
2011-06-30,21.96,$2.24,9.8
2011-03-31,25.37,$1.91,13.28
2010-12-31,25.66,$2.14,11.99
2010-09-30,20.55,$2.26,9.09
2010-06-30,19.92,$1.87,10.65
2009-12-31,15.64,$1.61,9.72
2009-09-30,14.36,$1.25,11.48
