Oshkosh PE Ratio Historical Data,Oshkosh PE Ratio Historical Data,Oshkosh PE Ratio Historical Data,Oshkosh PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,106.16,,10.27
2024-06-30,107.72,$10.34,10.42
2024-03-31,123.69,$10.45,11.84
2023-12-31,107.07,$9.08,11.79
2023-09-30,94.25,$7.94,11.87
2023-06-30,85.17,$6.05,14.08
2023-03-31,81.36,$3.79,21.47
2022-12-31,85.88,$2.42,35.49
2022-09-30,68.17,$1.37,49.76
2022-06-30,79.32,$1.77,44.81
2022-03-31,96.79,$4.43,21.85
2021-12-31,108.04,$5.90,18.31
2021-09-30,97.82,$6.82,14.34
2021-06-30,118.77,$5.52,21.52
2021-03-31,112.79,$3.62,31.16
2020-12-31,81.54,$3.17,25.72
2020-09-30,69.33,$3.26,21.27
2020-06-30,67.31,$3.26,20.65
2020-03-31,60.15,$4.81,12.51
2019-12-31,88.19,$5.64,15.64
2019-09-30,70.4,$6.05,11.64
2019-06-30,77.24,$6.05,12.77
2019-03-31,69.26,$5.38,12.87
2018-12-31,56.32,$5.03,11.2
2018-09-30,65.18,$4.26,15.3
2018-06-30,64.12,$4.26,15.05
2018-03-31,70.22,$3.90,18.01
2017-12-31,82.37,$3.01,27.37
2017-09-30,74.59,$2.27,32.86
2017-06-30,62.07,$3.40,18.26
2017-03-31,61.62,$2.47,24.95
2016-09-30,49.99,$2.08,24.04
2016-06-30,42.44,$2.08,20.4
2016-03-31,36.21,$2.08,17.41
2015-12-31,34.37,$2.01,17.1
2015-09-30,31.84,$2.25,14.15
2015-06-30,36.98,$2.25,16.43
2015-03-31,42.43,$2.34,18.13
2014-12-31,42.15,$2.48,17.0
2014-09-30,38.12,$2.68,14.22
2014-06-30,47.79,$2.68,17.83
2014-03-31,50.52,$3.13,16.14
2013-12-31,43.11,$2.56,16.84
2013-09-30,41.79,$2.90,14.41
2013-06-30,32.4,$3.41,9.5
2016-12-31,57.86,$1.74,33.25
2013-03-31,36.26,$2.30,15.76
2012-12-31,25.3,$1.74,14.54
2012-09-30,23.41,$1.65,14.18
2012-06-30,17.88,$2.40,7.45
2012-03-31,19.77,$2.32,8.52
2011-12-31,18.24,$3.00,6.08
2011-06-30,24.69,$2.58,9.57
2011-03-31,30.19,$4.14,7.29
2010-12-31,30.07,$6.62,4.54
2010-09-30,23.47,$7.40,3.17
2010-06-30,26.59,$7.04,3.78
2010-03-31,34.42,$-11.29,0.0
2009-12-31,31.6,$-14.51,0.0
2009-06-30,12.41,$-16.38,0.0
