Fortuna Mining PE Ratio Historical Data,Fortuna Mining PE Ratio Historical Data,Fortuna Mining PE Ratio Historical Data,Fortuna Mining PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,4.66,,466.0
2024-06-30,4.89,$0.01,489.0
2024-03-31,3.73,$-0.11,0.0
2023-12-31,3.86,$-0.16,0.0
2023-09-30,2.72,$-0.38,0.0
2023-06-30,3.24,$-0.48,0.0
2023-03-31,3.82,$-0.48,0.0
2022-12-31,3.75,$-0.43,0.0
2022-09-30,2.52,$0.14,18.0
2022-06-30,2.84,$0.15,18.93
2022-03-31,3.81,$0.22,17.32
2021-12-31,3.9,$0.27,14.44
2021-09-30,3.93,$0.31,12.68
2021-06-30,5.55,$0.38,14.61
2021-03-31,6.47,$0.27,23.96
2020-12-31,8.24,$0.10,82.4
2020-09-30,6.36,$0.13,48.92
2020-06-30,5.09,$0.01,0.0
2020-03-31,2.31,$0.11,21.0
2019-12-31,4.08,$0.15,27.2
2019-09-30,3.09,$0.04,77.25
2019-06-30,2.85,$0.13,21.92
2019-03-31,3.35,$0.13,25.77
2018-12-31,3.64,$0.21,17.33
2018-09-30,4.37,$0.41,10.66
2018-06-30,5.68,$0.43,13.21
2018-03-31,5.21,$0.42,12.4
2017-12-31,5.22,$0.41,12.73
2017-09-30,4.38,$0.24,18.25
2017-06-30,4.89,$0.25,19.56
2017-03-31,5.2,$0.18,28.89
2016-12-31,5.65,$0.12,47.08
2016-09-30,7.24,$-0.05,0.0
2016-06-30,6.98,$-0.10,0.0
2016-03-31,3.9,$-0.09,0.0
2015-12-31,2.25,$-0.08,0.0
2015-09-30,2.18,$0.05,43.6
2015-06-30,3.66,$0.09,40.67
2015-03-31,3.84,$0.11,34.91
2014-12-31,4.55,$0.12,37.92
2014-09-30,4.06,$0.00,0.0
2014-06-30,5.51,$-0.06,0.0
2014-03-31,3.67,$-0.16,0.0
2013-12-31,2.87,$-0.15,0.0
2013-09-30,3.65,$0.04,91.25
2013-06-30,3.31,$0.10,33.1
2013-03-31,4.3,$0.21,20.48
2012-12-31,4.17,$0.25,16.68
2012-09-30,5.32,$0.17,31.29
2012-06-30,3.45,$0.19,18.16
2012-03-31,4.52,$0.21,21.52
2011-12-31,5.49,$0.17,32.29
2011-09-30,5.03,$0.19,26.47
2011-06-30,5.24,$0.10,52.4
2010-03-31,2.58,$0.06,43.0
2009-12-31,1.99,0,0.0
2009-09-30,1.41,$0.03,47.0
2009-06-30,0.75,$0.08,9.38
2009-03-31,0.82,$0.05,16.4
2011-03-31,5.49,$0.11,49.91
