EPlus Inc PE Ratio Historical Data,EPlus Inc PE Ratio Historical Data,EPlus Inc PE Ratio Historical Data,EPlus Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,99.42,,24.37
2024-06-30,73.68,$4.08,18.06
2024-03-31,78.54,$4.33,18.14
2023-12-31,79.84,$4.74,16.84
2023-09-30,63.52,$5.06,12.55
2023-06-30,56.3,$4.91,11.47
2023-03-31,49.04,$4.48,10.95
2022-12-31,44.28,$4.16,10.64
2022-09-30,41.54,$3.80,10.93
2022-06-30,53.12,$3.90,13.62
2022-03-31,56.06,$3.94,14.25
2021-12-31,53.88,$3.61,14.95
2021-09-30,51.31,$3.44,14.94
2021-06-30,43.35,$3.01,14.42
2021-03-31,49.82,$2.78,17.92
2020-12-31,43.98,$2.70,16.32
2020-09-30,36.6,$2.62,14.0
2020-06-30,35.34,$2.63,13.44
2020-03-31,31.31,$2.58,12.14
2019-12-31,42.15,$2.65,15.93
2019-09-30,38.05,$2.47,15.43
2019-06-30,34.47,$2.38,14.51
2019-03-31,44.27,$2.34,18.96
2018-12-31,35.59,$2.10,16.95
2018-09-30,46.35,$2.11,22.02
2018-06-30,47.05,$2.06,22.9
2018-03-31,38.85,$1.98,19.67
2017-12-31,37.6,$2.03,18.57
2017-09-30,46.23,$1.93,23.98
2017-06-30,37.05,$1.92,19.32
2017-03-31,33.76,$1.81,18.63
2016-12-31,28.8,$1.78,16.2
2016-09-30,23.6,$1.67,14.13
2016-06-30,20.45,$1.60,12.76
2016-03-31,20.13,$1.53,13.13
2015-12-31,23.32,$1.73,13.52
2015-09-30,19.77,$1.78,11.09
2015-03-31,21.73,$1.56,13.95
2014-12-31,18.92,$1.51,12.53
2014-09-30,14.01,$1.28,10.95
2014-06-30,14.55,$1.20,12.1
2014-03-31,13.94,$1.16,12.07
2015-06-30,19.16,$1.14,16.81
2013-12-31,14.21,$1.08,13.22
2013-09-30,12.92,$1.02,12.64
2013-06-30,14.97,$1.08,13.93
2013-03-31,11.55,$1.09,10.62
2012-12-31,10.34,$0.97,10.63
2012-09-30,9.23,$0.97,9.51
2012-06-30,7.61,$0.87,8.8
2012-03-31,7.52,$0.72,10.45
2011-12-31,6.65,$0.70,9.47
2011-09-30,5.8,$0.65,8.93
2011-06-30,6.22,$0.67,9.25
2011-03-31,6.26,$0.71,8.88
2010-12-31,5.56,$0.71,7.89
2010-09-30,5.05,$0.55,9.18
2010-06-30,4.12,$0.46,8.95
2010-03-31,4.13,$0.38,11.01
2009-12-31,3.88,$0.30,13.17
