G-III Apparel Group PE Ratio Historical Data,G-III Apparel Group PE Ratio Historical Data,G-III Apparel Group PE Ratio Historical Data,G-III Apparel Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,32.76,,8.19
2024-07-31,27.57,$4.00,6.89
2024-04-30,28.15,$3.82,7.37
2024-01-31,30.09,$3.77,7.98
2023-10-31,25.55,$-2.38,0.0
2023-07-31,20.71,$-3.86,0.0
2023-04-30,15.7,$-3.59,0.0
2023-01-31,16.92,$-2.68,0.0
2022-10-31,19.5,$5.02,3.88
2022-04-30,26.48,$4.15,6.38
2022-01-31,27.17,$4.06,6.69
2021-10-31,28.66,$3.38,8.48
2021-07-31,29.86,$1.96,15.23
2021-04-30,32.49,$2.86,11.36
2021-01-31,27.04,$2.02,13.39
2022-07-31,22.09,$0.90,24.54
2020-10-31,13.48,$0.68,19.82
2020-07-31,9.89,$1.36,7.27
2020-04-30,11.33,$1.90,5.96
2020-01-31,27.21,$2.96,9.19
2019-10-31,25.11,$2.92,8.6
2019-07-31,28.66,$2.81,10.2
2019-04-30,43.15,$2.78,15.52
2019-01-31,34.87,$2.74,12.73
2018-10-31,39.86,$2.25,17.72
2018-07-31,45.7,$2.04,22.4
2018-04-30,36.49,$1.66,21.98
2018-01-31,37.35,$1.25,29.88
2017-10-31,25.34,$0.84,30.17
2017-07-31,26.03,$0.69,37.72
2017-04-30,23.7,$0.84,28.21
2017-01-31,26.26,$1.11,23.66
2016-10-31,26.12,$1.70,15.36
2016-07-31,40.03,$2.07,19.34
2016-04-30,45.25,$2.37,19.09
2016-01-31,49.36,$2.46,20.07
2015-10-31,55.09,$2.77,19.89
2015-07-31,72.23,$2.67,27.1
2015-04-30,55.59,$2.54,21.89
2015-01-31,48.6,$2.42,20.08
2014-10-31,39.68,$2.25,17.63
2014-07-31,38.84,$1.91,20.33
2014-04-30,35.89,$1.85,19.4
2014-01-31,34.99,$1.85,18.96
2013-10-31,28.36,$1.74,16.35
2013-07-31,25.73,$1.50,17.21
2013-04-30,20.33,$1.45,14.07
2013-01-31,17.95,$1.40,12.82
2012-10-31,18.48,$1.33,13.95
2012-07-31,12.29,$1.22,10.07
2012-04-30,13.43,$1.23,10.96
2012-01-31,11.43,$1.23,9.29
2011-10-31,14.1,$1.42,9.96
2011-07-31,15.44,$1.42,10.91
2011-04-30,22.43,$1.45,15.47
2011-01-31,17.45,$1.43,12.2
2010-10-31,13.2,$1.37,9.67
2010-07-31,12.9,$1.22,10.57
2010-04-30,14.3,$1.06,13.49
2010-01-31,8.71,$0.89,9.78
2009-10-31,8.01,$-0.32,0.0
