NexGen Energy PE Ratio Historical Data,NexGen Energy PE Ratio Historical Data,NexGen Energy PE Ratio Historical Data,NexGen Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,8.11,,811.0
2024-06-30,6.98,$0.01,0.0
2024-03-31,7.77,$-0.01,0.0
2023-12-31,7.0,$0.02,350.0
2023-09-30,5.97,$-0.23,0.0
2023-06-30,4.71,$-0.12,0.0
2023-03-31,3.83,$-0.11,0.0
2022-12-31,4.43,$-0.14,0.0
2022-09-30,3.67,$-0.12,0.0
2022-06-30,3.59,$-0.11,0.0
2022-03-31,5.66,$-0.12,0.0
2021-12-31,4.37,$-0.21,0.0
2021-09-30,4.73,$-0.31,0.0
2021-06-30,4.1,$-0.33,0.0
2021-03-31,3.63,$-0.34,0.0
2020-12-31,2.76,$-0.19,0.0
2020-09-30,1.73,$-0.09,0.0
2020-06-30,1.29,$-0.05,0.0
2020-03-31,0.73,$-0.04,0.0
2019-12-31,1.28,$-0.07,0.0
2019-09-30,1.3,$-0.02,0.0
2019-06-30,1.57,$-0.06,0.0
2019-03-31,1.62,$-0.08,0.0
2018-12-31,1.78,$-0.08,0.0
2018-09-30,2.05,$-0.11,0.0
2018-06-30,1.86,$-0.07,0.0
2018-03-31,1.7,$-0.09,0.0
