Vistra PE Ratio Historical Data,Vistra PE Ratio Historical Data,Vistra PE Ratio Historical Data,Vistra PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,85.43,,62.82
2024-06-30,85.98,$1.36,63.22
2024-03-31,69.48,$1.63,42.62
2023-12-31,38.3,$3.58,10.7
2023-09-30,32.8,$3.40,9.65
2023-06-30,25.79,$3.66,7.05
2023-03-31,23.39,$-0.78,0.0
2022-12-31,22.43,$-3.21,0.0
2022-09-30,20.14,$-1.03,0.0
2022-06-30,21.76,$-2.53,0.0
2022-03-31,21.97,$0.81,27.12
2021-12-31,21.35,$1.48,14.42
2021-09-30,15.92,$0.93,17.11
2021-06-30,17.13,$1.26,13.59
2020-12-31,17.86,$1.30,13.74
2020-09-30,17.01,$1.84,9.24
2020-06-30,16.67,$-3.27,0.0
2020-03-31,14.19,$-3.38,0.0
2019-12-31,20.24,$-2.79,0.0
2021-03-31,16.19,$-2.84,0.0
2019-09-30,23.41,$1.00,23.41
2019-06-30,19.73,$1.38,14.3
2019-03-31,22.57,$0.88,25.65
2018-12-31,19.75,$-0.27,0.0
2018-09-30,21.47,$-1.25,0.0
2018-06-30,20.42,$-1.22,0.0
2018-03-31,17.97,$-1.48,0.0
