Bancorp PE Ratio Historical Data,Bancorp PE Ratio Historical Data,Bancorp PE Ratio Historical Data,Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,59.01,,15.37
2024-06-30,37.76,$3.84,9.83
2024-03-31,33.46,$3.68,9.09
2023-12-31,38.56,$3.50,11.02
2023-09-30,34.5,$3.40,10.15
2023-06-30,32.65,$3.02,10.81
2023-03-31,27.85,$2.66,10.47
2022-12-31,28.38,$2.28,12.45
2022-09-30,21.98,$2.03,10.83
2022-06-30,19.52,$1.97,9.91
2022-03-31,28.33,$1.94,14.6
2021-12-31,25.31,$1.88,13.46
2021-09-30,25.45,$1.83,13.91
2021-06-30,23.01,$1.75,13.15
2021-03-31,20.72,$1.60,12.95
2020-12-31,13.65,$1.38,9.89
2020-09-30,8.64,$1.00,8.64
2020-06-30,9.8,$0.96,10.21
2020-03-31,6.07,$0.81,7.49
2019-12-31,12.97,$0.91,14.25
2019-09-30,9.9,$1.01,9.8
2019-06-30,8.92,$1.72,5.19
2019-03-31,8.08,$1.63,4.96
2018-12-31,7.96,$1.56,5.1
2018-09-30,9.59,$1.21,7.93
2018-06-30,10.46,$0.27,38.74
2018-03-31,10.8,$0.50,21.6
2017-12-31,9.88,$0.39,25.33
2017-09-30,8.27,$0.09,91.89
2017-06-30,7.58,$-0.58,0.0
2017-03-31,5.1,$-1.75,0.0
2016-12-31,7.86,$-2.18,0.0
2016-09-30,6.42,$-1.14,0.0
2016-06-30,6.02,$-0.75,0.0
2016-03-31,5.72,$0.08,71.5
2015-12-31,6.37,$0.37,17.22
2015-09-30,7.62,$-0.21,0.0
2015-06-30,9.28,$-0.51,0.0
2015-03-31,9.03,$-0.50,0.0
2014-12-31,10.89,$-0.49,0.0
2014-09-30,8.59,$-0.24,0.0
2014-06-30,11.91,$0.34,35.03
2014-03-31,18.81,$0.48,39.19
2013-12-31,17.91,$0.67,26.73
2013-09-30,17.69,$0.63,28.08
2013-06-30,14.99,$0.61,24.57
2013-03-31,13.85,$0.58,23.88
2012-12-31,10.97,$0.50,21.94
2012-09-30,10.27,$0.45,22.82
2012-06-30,9.43,$0.41,23.0
2012-03-31,10.04,$0.31,32.39
2011-12-31,7.23,$0.29,24.93
2011-09-30,7.16,$0.27,26.52
2011-06-30,10.45,$0.22,47.5
2011-03-31,9.23,$0.21,43.95
2010-12-31,10.17,$-0.04,0.0
2010-09-30,6.69,$-0.16,0.0
2010-06-30,7.83,$-0.14,0.0
2010-03-31,8.9,$-0.14,0.0
2009-12-31,6.86,$0.04,171.5
