Ziff Davis PE Ratio Historical Data,Ziff Davis PE Ratio Historical Data,Ziff Davis PE Ratio Historical Data,Ziff Davis PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,47.24,,29.16
2024-06-30,55.05,$1.62,33.98
2024-03-31,63.04,$1.21,52.1
2023-12-31,67.19,$0.82,81.94
2023-09-30,63.69,$0.87,73.21
2023-06-30,70.06,$0.55,127.38
2023-03-31,78.05,$0.70,111.5
2022-12-31,79.1,$8.25,9.59
2022-06-30,74.53,$7.79,9.57
2022-03-31,96.78,$9.11,10.62
2021-12-31,110.86,$10.27,10.79
2021-09-30,136.62,$4.15,32.92
2021-06-30,137.55,$4.58,30.03
2021-03-31,119.86,$5.05,23.73
2020-12-31,97.69,$3.25,30.06
2020-09-30,69.22,$4.43,15.63
2020-06-30,63.21,$3.74,16.9
2020-03-31,74.85,$3.60,20.79
2019-12-31,93.71,$4.39,21.35
2019-09-30,90.82,$2.97,30.58
2019-06-30,88.89,$2.96,30.03
2019-03-31,86.15,$2.87,30.02
2018-12-31,68.66,$3.23,21.26
2018-09-30,81.51,$2.86,28.5
2018-06-30,84.76,$2.88,29.43
2017-12-31,72.69,$2.83,25.69
2017-09-30,71.19,$2.70,26.37
2017-06-30,81.56,$2.98,27.37
2017-03-31,80.06,$3.04,26.34
2016-12-31,77.7,$3.13,24.83
2016-09-30,62.97,$2.96,21.27
2016-06-30,59.42,$2.79,21.3
2016-03-31,57.62,$2.90,19.87
2015-12-31,76.68,$2.68,28.61
2015-09-30,65.75,$2.41,27.28
2015-06-30,62.76,$2.30,27.29
2022-09-30,68.48,$2.10,32.61
2015-03-31,60.4,$2.44,24.76
2014-12-31,56.77,$2.59,21.92
2014-09-30,44.96,$2.37,18.97
2014-06-30,46.09,$2.36,19.53
2014-03-31,45.36,$2.40,18.9
2013-12-31,45.32,$2.29,19.79
2013-09-30,44.63,$2.50,17.85
2013-06-30,38.13,$2.29,16.65
2013-03-31,34.96,$2.21,15.82
2012-12-31,27.1,$2.39,11.34
2018-03-31,76.86,$2.34,32.85
2012-09-30,28.85,$2.58,11.18
2012-06-30,23.05,$2.43,9.48
2012-03-31,24.8,$2.37,10.46
2011-12-31,24.16,$2.43,9.94
2011-09-30,22.93,$2.39,9.59
2011-06-30,23.92,$2.28,10.49
2011-03-31,25.0,$2.08,12.02
2010-12-31,24.53,$1.81,13.55
2010-09-30,20.15,$1.62,12.44
2010-06-30,18.5,$1.62,11.42
2010-03-31,19.79,$1.46,13.55
2009-12-31,17.24,$1.49,11.57
