Simmons First National PE Ratio Historical Data,Simmons First National PE Ratio Historical Data,Simmons First National PE Ratio Historical Data,Simmons First National PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,23.3,,19.58
2024-06-30,17.41,$1.19,14.63
2024-03-31,19.02,$1.23,15.46
2023-12-31,19.17,$1.57,12.21
2023-09-30,16.22,$2.01,8.07
2023-03-31,16.36,$1.85,8.84
2022-12-31,19.97,$2.07,9.65
2022-09-30,19.98,$1.84,10.86
2022-06-30,19.33,$1.67,11.58
2022-03-31,23.64,$2.20,10.75
2021-12-31,26.49,$2.31,11.47
2023-06-30,16.31,$2.51,6.5
2021-09-30,26.31,$2.54,10.36
2021-06-30,25.95,$2.40,10.81
2021-03-31,26.08,$2.25,11.59
2020-12-31,18.88,$2.31,8.17
2020-09-30,13.75,$2.31,5.95
2020-06-30,14.69,$2.55,5.76
2020-03-31,15.63,$2.59,6.04
2019-12-31,22.54,$2.42,9.31
2019-09-30,20.82,$2.53,8.23
2019-06-30,19.32,$2.28,8.48
2019-03-31,20.2,$2.28,8.86
2018-12-31,19.79,$2.32,8.53
2018-09-30,24.01,$1.94,12.41
2018-06-30,24.26,$1.79,13.55
2018-03-31,22.97,$1.64,14.05
2017-12-31,22.94,$1.47,15.66
2017-09-30,23.16,$1.63,14.25
2016-12-31,24.52,$1.57,15.67
2016-09-30,19.61,$1.53,12.82
2016-06-30,18.07,$1.51,11.96
2016-03-31,17.54,$1.50,11.73
2015-12-31,19.88,$1.47,13.57
2017-06-30,21.06,$1.27,16.58
2015-09-30,18.47,$1.27,14.54
2015-06-30,17.9,$1.17,15.3
2015-03-31,17.35,$1.17,14.89
2014-12-31,15.43,$1.11,13.96
2014-09-30,14.54,$0.86,16.91
2017-03-31,21.85,$0.82,26.81
2014-03-31,13.92,$0.67,20.93
2013-12-31,13.79,$0.71,19.43
2013-09-30,11.47,$0.84,13.74
2013-06-30,9.55,$0.83,11.58
2013-03-31,9.2,$0.82,11.28
2012-12-31,9.13,$0.82,11.14
2012-09-30,8.7,$0.77,11.37
2012-06-30,8.24,$0.86,9.58
2012-03-31,9.07,$0.88,10.31
2011-12-31,9.48,$0.89,10.65
2014-06-30,14.79,$0.85,17.4
2011-09-30,7.51,$1.03,7.29
2011-06-30,8.8,$1.04,8.46
2011-03-31,9.22,$1.08,8.58
2010-12-31,9.64,$1.08,8.96
2010-09-30,9.5,$0.82,11.65
2010-06-30,8.76,$0.87,10.13
2010-03-31,9.13,$0.83,11.0
2009-12-31,9.14,$0.87,10.51
