HubSpot PE Ratio Historical Data,HubSpot PE Ratio Historical Data,HubSpot PE Ratio Historical Data,HubSpot PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,533.38,,0.0
2024-06-30,589.79,$-0.54,0.0
2024-03-31,626.56,$-2.65,0.0
2023-12-31,580.54,$-3.55,0.0
2023-09-30,492.5,$-3.60,0.0
2023-06-30,532.09,$-4.14,0.0
2023-03-31,428.75,$-2.93,0.0
2022-12-31,289.13,$-2.35,0.0
2022-09-30,270.12,$-2.38,0.0
2022-06-30,300.65,$-2.02,0.0
2022-03-31,474.94,$-1.37,0.0
2021-12-31,659.15,$-1.67,0.0
2021-09-30,676.09,$-1.66,0.0
2021-06-30,582.72,$-1.86,0.0
2021-03-31,454.21,$-2.00,0.0
2020-12-31,396.44,$-1.91,0.0
2020-09-30,292.23,$-1.81,0.0
2020-06-30,224.35,$-1.67,0.0
2020-03-31,133.19,$-1.41,0.0
2019-12-31,158.5,$-1.27,0.0
2019-09-30,151.61,$-1.32,0.0
2019-06-30,170.52,$-1.45,0.0
2019-03-31,166.21,$-1.52,0.0
2018-12-31,125.73,$-1.66,0.0
2018-09-30,150.95,$-1.68,0.0
2018-06-30,125.4,$-1.49,0.0
2018-03-31,108.3,$-1.27,0.0
2017-12-31,88.4,$-1.08,0.0
2017-09-30,84.05,$-1.16,0.0
2017-06-30,65.75,$-1.17,0.0
2017-03-31,60.55,$-1.23,0.0
2016-12-31,47.0,$-1.30,0.0
2016-09-30,57.62,$-1.21,0.0
2016-06-30,43.42,$-1.31,0.0
2016-03-31,43.62,$-1.33,0.0
2015-12-31,56.31,$-1.38,0.0
2015-09-30,46.37,$-1.77,0.0
