Six Flags Entertainment PE Ratio Historical Data,Six Flags Entertainment PE Ratio Historical Data,Six Flags Entertainment PE Ratio Historical Data,Six Flags Entertainment PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,40.34,,16.33
2024-06-30,54.35,$2.47,22.0
2024-03-31,41.9,$2.43,17.24
2023-12-31,39.52,$5.33,7.41
2023-09-30,36.46,$11.38,3.2
2023-06-30,39.09,$8.06,4.85
2022-12-31,39.89,$5.46,7.31
2022-09-30,39.42,$4.71,8.37
2022-06-30,41.77,$-3.76,0.0
2022-03-31,52.13,$-2.05,0.0
2021-12-31,47.62,$-1.53,0.0
2023-03-31,44.37,$-3.00,0.0
2021-09-30,44.12,$-2.26,0.0
2021-06-30,42.64,$-7.27,0.0
2021-03-31,47.26,$-8.58,0.0
2020-12-31,37.42,$-10.46,0.0
2020-09-30,26.7,$-8.54,0.0
2020-06-30,26.16,$-2.79,0.0
2020-03-31,17.45,$0.67,26.04
2019-12-31,51.54,$4.10,12.57
2019-09-30,53.34,$7.81,6.83
2019-06-30,42.87,$4.81,8.91
2018-12-31,41.02,$2.21,18.56
2018-09-30,44.4,$3.62,12.26
2018-06-30,52.82,$-1.63,0.0
2018-03-31,52.84,$1.41,37.47
2017-12-31,53.04,$3.45,15.37
2019-03-31,46.44,$1.28,36.28
2017-09-30,51.64,$2.65,19.49
2017-06-30,57.33,$2.37,24.19
2017-03-31,53.28,$2.85,18.69
2016-12-31,49.81,$3.14,15.86
2016-09-30,43.83,$2.80,15.65
2016-06-30,43.61,$2.62,16.65
2016-03-31,44.22,$2.61,16.94
2015-12-31,40.94,$1.98,20.68
2015-09-30,38.02,$2.12,17.94
2015-06-30,38.83,$2.10,18.49
2015-03-31,40.39,$1.87,21.6
2014-12-31,33.19,$1.86,17.84
2014-09-30,32.29,$1.81,17.84
2014-06-30,35.62,$2.32,15.35
2014-03-31,33.85,$2.38,14.22
2013-12-31,32.52,$1.94,16.76
2013-09-30,28.19,$2.12,13.3
2013-06-30,26.38,$1.22,21.62
2013-03-31,24.95,$1.02,24.46
2012-12-31,20.64,$1.79,11.53
2012-09-30,20.41,$1.97,10.36
2012-06-30,18.05,$2.20,8.21
2012-03-31,17.55,$1.63,10.77
2011-12-31,12.57,$1.67,7.53
2011-09-30,10.72,$3.04,3.53
2011-06-30,11.35,$0.22,51.6
2010-12-31,8.47,$-0.58,0.0
2010-09-30,7.28,$0.09,80.86
2010-06-30,6.77,$-2.80,0.0
2010-03-31,6.56,$-0.80,0.0
2009-12-31,6.27,$0.05,125.34
2011-03-31,10.77,$-0.45,0.0
