PennyMac Financial Services PE Ratio Historical Data,PennyMac Financial Services PE Ratio Historical Data,PennyMac Financial Services PE Ratio Historical Data,PennyMac Financial Services PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,110.77,,30.6
2024-06-30,94.6,$3.62,26.13
2024-03-31,91.09,$2.88,31.63
2023-12-31,88.37,$2.71,32.61
2023-09-30,66.6,$4.16,16.01
2023-06-30,70.31,$4.85,14.5
2023-03-31,59.61,$6.02,9.9
2022-12-31,56.66,$8.39,6.75
2022-09-30,42.9,$10.47,4.1
2022-06-30,43.56,$11.81,3.69
2022-03-31,52.79,$12.47,4.23
2021-12-31,69.01,$14.68,4.7
2021-09-30,60.27,$17.86,3.37
2021-06-30,60.67,$21.09,2.88
2021-03-31,65.52,$22.54,2.91
2020-12-31,64.1,$21.12,3.03
2020-09-30,56.62,$17.03,3.32
2020-06-30,40.59,$11.51,3.53
2020-03-31,21.38,$8.04,2.66
2019-12-31,32.81,$4.94,6.64
2019-09-30,29.17,$3.63,8.04
2019-06-30,21.3,$2.82,7.55
2018-12-31,20.42,$2.57,7.94
2018-09-30,20.07,$4.38,4.58
2018-06-30,18.52,$4.39,4.22
2018-03-31,21.35,$4.40,4.85
2017-12-31,21.07,$4.17,5.05
2019-03-31,21.36,$2.20,9.71
2017-09-30,16.78,$2.62,6.4
2017-06-30,15.74,$2.97,5.3
2017-03-31,16.07,$3.18,5.05
2016-12-31,15.69,$2.94,5.34
2016-09-30,16.03,$2.52,6.36
2016-06-30,11.77,$2.04,5.77
2016-03-31,11.09,$1.98,5.6
2015-12-31,14.48,$2.17,6.67
2015-09-30,15.08,$2.00,7.54
2015-06-30,17.08,$1.91,8.94
2015-03-31,16.0,$1.77,9.04
2014-12-31,16.31,$1.73,9.43
2014-09-30,13.81,$1.64,8.42
2014-06-30,14.32,$1.43,10.01
2014-03-31,15.69,$1.20,13.07
