Expand Energy PE Ratio Historical Data,Expand Energy PE Ratio Historical Data,Expand Energy PE Ratio Historical Data,Expand Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,87.57,,29.58
2024-06-30,82.19,$2.96,27.77
2024-03-31,88.83,$7.42,11.97
2023-12-31,76.94,$16.84,4.57
2023-09-30,86.23,$36.82,2.34
2023-06-30,83.68,$42.45,1.97
2023-03-31,76.04,$47.99,1.58
2022-12-31,94.37,$32.07,2.94
2022-09-30,94.21,$19.20,4.91
2022-06-30,79.21,$9.57,8.28
2022-03-31,82.73,$-3.18,0.0
2021-12-31,60.11,$3.14,19.14
