Silvercorp Metals PE Ratio Historical Data,Silvercorp Metals PE Ratio Historical Data,Silvercorp Metals PE Ratio Historical Data,Silvercorp Metals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,4.71,,17.44
2024-06-30,3.36,$0.27,12.44
2024-03-31,3.25,$0.20,16.24
2023-12-31,2.62,$0.17,15.42
2023-09-30,2.33,$0.18,12.94
2023-06-30,2.8,$0.11,25.41
2023-03-31,3.77,$0.12,31.42
2022-12-31,2.92,$0.14,20.87
2022-09-30,2.29,$0.10,22.9
2022-06-30,2.44,$0.16,15.23
2022-03-31,3.54,$0.17,20.84
2021-12-31,3.68,$0.19,19.37
2021-09-30,3.72,$0.21,17.7
2021-06-30,5.36,$0.25,21.43
2021-03-31,4.78,$0.27,17.71
2020-12-31,6.51,$0.25,26.06
2020-09-30,7.04,$0.24,29.31
2020-06-30,5.22,$0.22,23.72
2020-03-31,3.17,$0.20,15.85
2019-12-31,5.5,$0.25,21.98
2019-09-30,3.76,$0.26,14.46
2019-06-30,2.38,$0.24,9.91
2019-03-31,2.45,$0.23,10.66
2018-12-31,2.02,$0.23,8.78
2018-09-30,2.36,$0.25,9.44
2018-06-30,2.55,$0.27,9.45
2018-03-31,2.56,$0.27,9.47
2017-12-31,2.49,$0.28,8.9
2017-09-30,2.56,$0.29,8.82
2017-06-30,3.04,$0.29,10.48
2017-03-31,0.61,$0.26,2.36
2016-12-31,0.61,$0.17,3.61
2016-09-30,0.61,$0.11,5.58
2016-06-30,0.61,$0.05,12.27
2016-03-31,0.61,$0.03,20.46
2015-12-31,0.61,$-0.65,0.0
2015-09-30,0.61,$-0.64,0.0
2015-06-30,1.02,$-0.61,0.0
2015-03-31,1.11,$-0.60,0.0
2014-12-31,1.22,$0.06,20.32
2014-09-30,1.49,$0.04,37.14
2014-06-30,1.98,$-0.25,0.0
2014-03-31,1.81,$-0.24,0.0
2013-12-31,2.12,$-0.17,0.0
2013-09-30,3.03,$-0.15,0.0
2013-06-30,2.62,$0.16,16.35
2013-03-31,3.65,$0.17,21.44
2012-12-31,4.75,$0.19,24.99
2012-09-30,6.01,$0.28,21.47
2012-06-30,5.13,$0.33,15.54
2012-03-31,6.39,$0.44,14.52
2011-12-31,5.94,$0.45,13.19
2011-09-30,7.34,$0.51,14.39
2011-06-30,8.7,$0.48,18.13
2011-03-31,13.51,$0.42,32.18
2010-12-31,11.9,$0.41,29.02
2010-09-30,7.68,$0.31,24.77
2010-06-30,6.14,$0.28,21.93
2010-03-31,6.38,$0.24,26.59
2009-12-31,6.12,$0.19,32.22
