Nomura Holdings Inc ADR PE Ratio Historical Data,Nomura Holdings Inc ADR PE Ratio Historical Data,Nomura Holdings Inc ADR PE Ratio Historical Data,Nomura Holdings Inc ADR PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,5.38,,11.96
2024-06-30,5.78,$0.45,12.84
2024-03-31,6.42,$0.37,17.35
2023-12-31,4.51,$0.27,16.7
2023-09-30,4.02,$0.31,12.97
2023-06-30,3.78,$0.27,14.0
2023-03-31,3.75,$0.21,17.86
2022-12-31,3.62,$0.28,12.92
2022-09-30,3.18,$0.30,10.61
2022-06-30,3.42,$0.27,12.65
2022-03-31,4.03,$0.41,9.82
2021-12-31,4.03,$-0.15,0.0
2021-09-30,4.6,$-0.02,0.0
2021-06-30,4.68,$0.17,27.5
2021-03-31,4.92,$0.45,10.94
2020-12-31,4.78,$0.83,5.76
2020-09-30,4.11,$0.70,5.87
2020-06-30,3.83,$0.88,4.35
2020-03-31,3.68,$0.61,6.03
2019-12-31,4.4,$0.70,6.29
2019-09-30,3.63,$0.28,12.95
2019-06-30,2.93,$-0.13,0.0
2019-03-31,2.97,$-0.27,0.0
2018-12-31,3.05,$-0.21,0.0
2018-09-30,3.92,$0.26,15.08
2018-06-30,3.91,$0.42,9.3
2018-03-31,4.77,$0.55,8.68
2017-12-31,4.67,$0.64,7.29
2017-09-30,4.47,$0.60,7.44
2017-06-30,4.77,$0.63,7.58
2017-03-31,4.96,$0.61,8.12
2016-12-31,4.59,$0.41,11.2
2016-09-30,3.46,$0.31,11.17
2016-06-30,2.68,$0.25,10.73
2016-03-31,3.39,$0.28,12.12
2015-12-31,4.22,$0.52,8.11
2015-09-30,4.42,$0.55,8.04
2015-06-30,5.07,$0.54,9.38
2015-03-31,4.4,$0.44,10.0
2014-12-31,4.18,$0.41,10.19
2014-09-30,4.35,$0.42,10.36
2014-06-30,5.18,$0.43,12.04
2014-03-31,4.74,$0.55,8.61
2013-12-31,5.72,$0.65,8.8
2013-09-30,5.75,$0.59,9.75
2013-06-30,5.43,$0.50,10.86
2013-03-31,4.5,$0.34,13.25
2012-12-31,4.25,$0.12,35.39
2012-09-30,2.58,$0.12,21.46
2012-06-30,2.65,$-0.05,0.0
2012-03-31,3.17,$-0.00,0.0
2011-12-31,2.13,0,0.0
2011-09-30,2.55,$-0.02,0.0
2011-06-30,3.48,$0.14,24.86
2011-03-31,3.67,$0.09,40.8
2010-12-31,4.47,$0.10,44.7
2010-09-30,3.34,$0.09,37.14
2010-06-30,3.79,$0.22,17.21
2010-03-31,5.09,$0.23,22.13
2009-12-31,5.11,$-1.02,0.0
