Ladder Capital Corp PE Ratio Historical Data,Ladder Capital Corp PE Ratio Historical Data,Ladder Capital Corp PE Ratio Historical Data,Ladder Capital Corp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,11.19,,14.16
2024-06-30,11.07,$0.79,14.01
2024-03-31,10.7,$0.76,14.07
2023-12-31,10.83,$0.81,13.37
2023-09-30,9.47,$1.14,8.31
2023-06-30,9.8,$1.12,8.75
2023-03-31,8.35,$1.17,7.14
2022-12-31,8.66,$1.14,7.6
2022-09-30,7.55,$0.88,8.58
2022-06-30,8.66,$0.80,10.82
2022-03-31,9.55,$0.60,15.92
2021-12-31,9.49,$0.45,21.09
2021-09-30,8.6,$0.13,66.18
2021-06-30,8.83,$0.12,73.56
2021-03-31,8.87,0,0.0
2020-12-31,7.23,$-0.15,0.0
2020-09-30,5.16,$0.33,15.63
2020-06-30,5.72,$0.45,12.7
2020-03-31,3.28,$0.79,4.15
2019-12-31,12.17,$1.15,10.58
2019-09-30,11.43,$1.01,11.32
2019-06-30,10.78,$1.42,7.59
2019-03-31,10.81,$1.52,7.11
2018-12-31,9.63,$1.84,5.23
2018-09-30,10.21,$2.00,5.1
2018-06-30,9.24,$1.61,5.74
2018-03-31,8.74,$1.34,6.52
2017-12-31,7.74,$0.99,7.82
2017-09-30,7.65,$1.22,6.27
2017-06-30,7.27,$1.38,5.27
2017-03-31,7.67,$1.30,5.9
2016-12-31,7.13,$1.03,6.93
2016-09-30,6.66,$0.90,7.4
2016-06-30,6.01,$0.52,11.57
2016-03-31,6.01,$1.14,5.27
2015-12-31,5.85,$1.38,4.24
2015-09-30,5.98,$1.00,5.98
2015-06-30,7.12,$1.22,5.84
2015-03-31,7.39,$0.77,9.6
2014-12-31,7.83,$0.86,9.11
