"BARINGS BDC, INC PE Ratio Historical Data","BARINGS BDC, INC PE Ratio Historical Data","BARINGS BDC, INC PE Ratio Historical Data","BARINGS BDC, INC PE Ratio Historical Data"
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,9.78,,9.4
2024-06-30,9.48,$1.04,9.11
2024-03-31,9.06,$1.23,7.37
2023-12-31,8.13,$1.19,6.83
2023-09-30,8.2,$0.90,9.11
2023-06-30,7.01,$0.82,8.55
2023-03-31,6.87,$0.22,31.25
2022-12-31,6.85,$0.10,68.47
2022-09-30,6.76,$0.29,23.31
2022-06-30,7.42,$0.42,17.67
2022-03-31,8.05,$1.10,7.32
2021-12-31,8.4,$1.19,7.06
2021-09-30,8.24,$1.47,5.61
2021-06-30,7.74,$2.15,3.6
2021-03-31,7.18,$2.84,2.53
2020-12-31,6.49,$0.20,32.47
2020-09-30,5.54,$-0.04,0.0
2020-06-30,5.39,$-0.84,0.0
2020-03-31,4.98,$-1.80,0.0
2019-12-31,6.73,$1.15,5.85
2019-09-30,6.55,$0.10,65.49
2019-06-30,6.26,$-1.94,0.0
2019-03-31,6.16,$-1.80,0.0
2018-12-31,5.66,$-2.15,0.0
2018-09-30,6.22,$-0.82,0.0
2018-06-30,7.13,$-0.08,0.0
2018-03-31,6.9,$-0.44,0.0
2017-12-31,5.74,$-0.57,0.0
2017-09-30,8.36,$-0.89,0.0
2017-06-30,9.98,$0.52,19.2
2017-03-31,10.55,$0.76,13.88
2016-12-31,9.9,$0.96,10.31
2016-09-30,10.38,$1.06,9.79
2016-06-30,9.98,$1.39,7.18
2016-03-31,10.35,$1.56,6.64
2015-12-31,9.35,$1.44,6.49
2015-09-30,7.84,$1.17,6.7
2015-06-30,10.8,$0.34,31.78
2015-03-31,10.26,$0.84,12.21
2014-12-31,8.91,$1.04,8.56
2014-09-30,10.79,$1.67,6.46
2014-06-30,11.83,$2.80,4.23
2014-03-31,10.52,$2.72,3.87
2013-12-31,10.96,$2.94,3.73
2013-09-30,11.42,$2.87,3.98
2013-06-30,10.51,$2.62,4.01
2013-03-31,10.49,$2.40,4.37
2012-12-31,9.38,$2.23,4.21
2012-09-30,9.25,$2.16,4.28
2012-06-30,8.04,$2.44,3.3
2012-03-31,6.81,$2.65,2.57
2011-12-31,6.44,$2.61,2.47
2011-09-30,5.0,$2.53,1.97
2011-06-30,5.9,$2.12,2.78
2011-03-31,5.64,$1.72,3.28
2010-12-31,5.8,$1.58,3.67
2010-09-30,4.77,$1.55,3.08
2010-06-30,4.14,$1.50,2.76
2010-03-31,3.97,$1.53,2.6
2009-12-31,3.33,$1.64,2.03
