Aurinia Pharmaceuticals Inc PE Ratio Historical Data,Aurinia Pharmaceuticals Inc PE Ratio Historical Data,Aurinia Pharmaceuticals Inc PE Ratio Historical Data,Aurinia Pharmaceuticals Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,7.18,,0.0
2024-06-30,5.71,$-0.34,0.0
2024-03-31,5.01,$-0.43,0.0
2023-12-31,8.99,$-0.54,0.0
2023-09-30,7.77,$-0.53,0.0
2023-06-30,9.68,$-0.50,0.0
2023-03-31,10.96,$-0.67,0.0
2022-12-31,4.32,$-0.76,0.0
2022-09-30,7.52,$-0.83,0.0
2022-06-30,10.05,$-1.16,0.0
2022-03-31,12.38,$-1.28,0.0
2021-12-31,22.87,$-1.41,0.0
2021-09-30,22.13,$-1.21,0.0
2021-06-30,12.96,$-1.10,0.0
2021-03-31,12.99,$-0.99,0.0
2020-12-31,13.83,$-0.74,0.0
2020-09-30,14.73,$-1.47,0.0
2020-06-30,16.25,$-1.40,0.0
2020-03-31,14.51,$-1.31,0.0
2019-12-31,20.26,$-1.30,0.0
2019-09-30,5.34,$-0.69,0.0
2019-06-30,6.58,$-0.69,0.0
2019-03-31,6.5,$-0.71,0.0
2018-12-31,6.82,$-0.75,0.0
2018-09-30,6.64,$-0.62,0.0
2018-06-30,5.63,$-0.57,0.0
2018-03-31,5.19,$-0.41,0.0
2017-12-31,4.53,$-1.15,0.0
2017-09-30,6.27,$-1.32,0.0
2017-06-30,6.13,$-1.26,0.0
2017-03-31,7.34,$-1.36,0.0
2016-12-31,2.1,$-0.57,0.0
2016-06-30,2.77,$-0.52,0.0
2016-03-31,2.91,$-0.44,0.0
2015-12-31,2.47,$-0.58,0.0
2015-09-30,2.84,$-0.60,0.0
2015-06-30,3.02,$-0.52,0.0
2015-03-31,4.36,$-0.71,0.0
