WisdomTree PE Ratio Historical Data,WisdomTree PE Ratio Historical Data,WisdomTree PE Ratio Historical Data,WisdomTree PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,10.33,,21.08
2024-06-30,9.88,$0.49,20.16
2024-03-31,9.13,$0.68,13.43
2023-12-31,6.86,$0.65,10.55
2023-09-30,6.89,$0.29,23.77
2023-06-30,6.72,$0.72,9.34
2023-03-31,5.72,$0.45,12.71
2022-12-31,5.29,$0.27,19.6
2022-09-30,4.52,$0.54,8.37
2022-06-30,4.87,$0.08,60.85
2022-03-31,5.6,$0.14,40.03
2021-12-31,5.81,$0.31,18.75
2021-09-30,5.36,$0.14,38.29
2021-06-30,5.83,$0.09,64.83
2021-03-31,5.85,$-0.11,0.0
2020-12-31,4.99,$-0.26,0.0
2020-09-30,2.96,$-0.14,0.0
2020-06-30,3.19,$-0.11,0.0
2020-03-31,2.12,$-0.01,0.0
2019-12-31,4.37,$-0.03,0.0
2019-09-30,4.69,$0.08,58.63
2019-06-30,5.51,$0.16,34.43
2018-12-31,5.88,$0.22,26.75
2018-09-30,7.47,$0.30,24.92
2018-06-30,7.97,$0.22,36.25
2018-03-31,8.03,$0.18,44.62
2017-12-31,10.96,$0.20,54.8
2019-03-31,6.28,$0.25,25.11
2017-09-30,8.83,$0.22,40.15
2017-06-30,8.75,$0.22,39.79
2017-03-31,7.74,$0.16,48.4
2016-12-31,9.41,$0.20,47.06
2016-09-30,8.61,$0.33,26.1
2016-06-30,8.13,$0.44,18.48
2016-03-31,9.42,$0.59,15.97
2015-12-31,12.83,$0.59,21.74
2015-09-30,12.99,$0.51,25.47
2015-06-30,17.63,$0.42,41.99
2015-03-31,17.16,$0.32,53.62
2014-12-31,12.48,$0.45,27.74
2014-09-30,9.01,$0.50,18.03
2014-06-30,9.79,$0.53,18.47
2014-03-31,10.39,$0.54,19.25
2013-12-31,14.03,$0.38,36.92
2013-09-30,9.19,$0.30,30.63
2013-06-30,9.17,$0.22,41.66
2013-03-31,8.24,$0.13,63.37
2012-12-31,4.85,$0.08,60.6
2012-09-30,5.31,$0.05,106.15
2012-06-30,5.2,$0.03,173.48
2012-03-31,6.63,$0.04,165.76
2011-12-31,4.79,$0.03,159.75
2011-09-30,5.56,$0.01,556.1
2011-06-30,5.02,$-0.02,0.0
