Brown & Brown PE Ratio Historical Data,Brown & Brown PE Ratio Historical Data,Brown & Brown PE Ratio Historical Data,Brown & Brown PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,105.13,,30.21
2024-06-30,89.29,$3.48,25.66
2024-03-31,87.29,$3.25,26.86
2023-12-31,70.79,$3.06,23.13
2023-09-30,69.39,$2.63,26.39
2023-06-30,68.29,$2.58,26.47
2023-03-31,56.86,$2.42,23.5
2022-12-31,56.3,$2.36,23.86
2022-09-30,59.66,$2.21,26.99
2022-06-30,57.45,$2.16,26.6
2022-03-31,71.05,$2.14,33.2
2021-12-31,68.99,$2.07,33.33
2021-09-30,54.34,$2.05,26.51
2021-06-30,51.99,$2.00,25.99
2021-03-31,44.64,$1.85,24.13
2020-12-31,46.21,$1.69,27.34
2020-09-30,44.03,$1.62,27.18
2020-06-30,39.57,$1.56,25.36
2020-03-31,35.08,$1.55,22.63
2019-12-31,38.17,$1.41,27.07
2019-09-30,34.78,$1.40,24.85
2019-06-30,32.24,$1.37,23.53
2019-03-31,28.33,$1.30,21.79
2018-12-31,26.38,$1.22,21.63
2018-09-30,28.23,$1.62,17.42
2018-06-30,26.4,$1.51,17.54
2018-03-31,24.16,$1.48,16.38
2017-12-31,24.36,$1.40,17.4
2017-09-30,22.75,$0.95,24.07
2017-06-30,20.27,$0.93,21.79
2017-03-31,19.57,$0.94,20.93
2016-12-31,20.98,$0.91,23.05
2016-09-30,17.57,$0.91,19.31
2016-06-30,17.4,$0.90,19.44
2016-03-31,16.57,$0.88,18.93
2015-12-31,14.79,$0.85,17.41
2015-09-30,14.22,$0.73,19.48
2015-06-30,15.04,$0.73,20.6
2015-03-31,15.1,$0.73,20.83
2014-12-31,14.96,$0.72,20.92
2014-09-30,14.56,$0.79,18.43
2014-06-30,13.86,$0.75,18.48
2014-03-31,13.84,$0.72,19.22
2013-12-31,14.08,$0.74,19.02
2013-09-30,14.35,$0.73,19.8
2013-06-30,14.38,$0.70,20.54
2013-03-31,14.24,$0.67,21.42
2012-12-31,11.28,$0.63,17.91
2012-09-30,11.51,$0.61,18.87
2012-06-30,12.0,$0.60,20.0
2012-03-31,10.43,$0.59,17.83
2011-12-31,9.89,$0.58,17.2
2011-09-30,7.75,$0.56,13.84
2011-06-30,11.12,$0.56,20.04
2011-03-31,11.15,$0.57,19.56
2010-12-31,10.31,$0.57,18.25
2010-09-30,8.67,$0.54,16.05
2010-06-30,8.18,$0.53,15.44
2010-03-31,7.63,$0.53,14.4
2009-12-31,7.62,$0.55,13.98
