VICI Properties PE Ratio Historical Data,VICI Properties PE Ratio Historical Data,VICI Properties PE Ratio Historical Data,VICI Properties PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,33.48,,13.13
2024-06-30,28.64,$2.55,11.23
2024-03-31,29.36,$2.53,11.6
2023-12-31,30.97,$2.48,12.49
2023-09-30,27.9,$2.39,11.67
2023-06-30,29.73,$2.18,13.64
2023-03-31,30.47,$1.43,21.31
2022-12-31,29.88,$1.26,23.72
2022-09-30,27.21,$1.07,25.43
2022-06-30,26.83,$1.01,26.56
2022-03-31,25.32,$1.61,15.72
2021-12-31,26.43,$1.76,15.02
2021-09-30,24.63,$1.85,13.31
2021-06-30,26.58,$2.31,11.5
2021-03-31,23.94,$1.72,13.92
2020-12-31,21.36,$1.43,14.94
2020-09-30,19.33,$1.21,15.97
2020-03-31,13.37,$0.84,15.92
2019-12-31,20.16,$1.26,16.0
2019-09-30,17.66,$1.42,12.44
2019-06-30,16.96,$1.46,11.62
2019-03-31,16.62,$1.47,11.3
2018-12-31,14.08,$1.43,9.84
2018-09-30,15.96,$1.53,10.43
