Quanex Building Products PE Ratio Historical Data,Quanex Building Products PE Ratio Historical Data,Quanex Building Products PE Ratio Historical Data,Quanex Building Products PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,30.27,,13.45
2024-07-31,33.3,$2.25,14.8
2024-04-30,33.03,$2.44,13.54
2024-01-31,30.97,$2.63,11.78
2023-10-31,26.57,$2.50,10.63
2023-07-31,27.77,$2.42,11.47
2023-04-30,18.79,$2.24,8.39
2023-01-31,25.37,$2.39,10.61
2022-10-31,21.64,$2.67,8.11
2022-07-31,23.94,$2.54,9.42
2022-04-30,18.63,$2.17,8.58
2022-01-31,21.04,$1.80,11.69
2021-10-31,19.94,$1.70,11.73
2021-07-31,23.82,$1.76,13.53
2021-04-30,26.09,$1.68,15.53
2021-01-31,20.96,$1.42,14.76
2020-10-31,17.29,$1.18,14.65
2020-07-31,13.28,$-0.44,0.0
2020-04-30,11.72,$-0.41,0.0
2020-01-31,16.52,$-1.31,0.0
2019-10-31,17.91,$-1.42,0.0
2019-07-31,17.22,$-0.29,0.0
2019-04-30,15.39,$-0.34,0.0
2019-01-31,14.33,$0.51,28.1
2018-10-31,13.49,$0.76,17.75
2018-07-31,16.05,$0.88,18.23
2018-04-30,15.51,$0.86,18.04
2018-01-31,18.68,$0.78,23.96
2017-10-31,19.78,$0.53,37.32
2017-07-31,19.34,$0.38,50.89
2017-04-30,18.31,$-0.03,0.0
2017-01-31,17.7,$0.04,442.38
2016-10-31,14.58,$-0.06,0.0
2016-07-31,17.83,$0.07,254.77
2016-04-30,16.77,$0.39,43.01
2016-01-31,16.44,$0.35,46.98
2015-10-31,16.72,$0.47,35.58
2015-07-31,17.76,$0.31,57.29
2015-04-30,17.04,$0.32,53.24
2015-01-31,16.59,$0.78,21.26
2014-10-31,17.6,$0.76,23.16
2014-07-31,14.99,$0.60,24.98
2014-04-30,16.49,$0.52,31.71
2014-01-31,16.55,$-0.21,0.0
2013-10-31,15.49,$-0.32,0.0
2013-07-31,14.8,$-0.26,0.0
2013-04-30,14.12,$-0.35,0.0
2013-01-31,17.88,$-0.49,0.0
2012-10-31,17.08,$-0.45,0.0
2012-07-31,14.57,$-0.31,0.0
2012-04-30,15.85,$-0.11,0.0
2012-01-31,14.1,$0.19,74.2
2011-10-31,12.58,$0.24,52.44
2011-07-31,13.32,$0.29,45.94
2011-04-30,17.78,$0.32,55.56
2011-01-31,16.5,$0.47,35.1
2010-10-31,15.22,$0.61,24.95
2010-07-31,14.82,$0.80,18.53
2010-04-30,15.98,$0.75,21.3
2010-01-31,13.5,$-0.44,0.0
2009-10-31,12.46,$-3.68,0.0
