Walmart PE Ratio Historical Data,Walmart PE Ratio Historical Data,Walmart PE Ratio Historical Data,Walmart PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,77.23,,40.15
2024-07-31,68.45,$1.92,35.59
2024-04-30,58.98,$2.34,25.24
2024-01-31,54.55,$1.91,28.51
2023-10-31,53.75,$2.01,26.74
2023-07-31,52.39,$1.73,30.23
2023-04-30,49.29,$1.39,35.55
2023-01-31,46.78,$1.43,32.79
2022-10-31,46.11,$1.08,42.69
2022-07-31,42.59,$1.67,25.5
2022-04-30,49.17,$1.55,31.72
2022-01-31,44.76,$1.06,42.36
2021-10-31,47.65,$1.23,38.74
2021-07-31,45.29,$1.62,28.01
2021-01-31,44.27,$1.58,28.08
2020-10-31,43.56,$2.31,18.89
2020-07-31,40.46,$2.03,19.93
2020-04-30,37.84,$1.66,22.84
2020-01-31,35.48,$1.61,22.04
2021-04-30,44.28,$1.57,28.2
2019-10-31,36.18,$1.67,21.67
2019-07-31,33.89,$1.48,22.9
2019-04-30,31.41,$1.30,24.1
2019-01-31,29.11,$1.05,27.64
2018-10-31,30.3,$0.95,31.89
2018-01-31,31.63,$1.09,29.02
2017-10-31,25.77,$1.25,20.56
2017-07-31,23.46,$0.96,24.36
2017-04-30,21.91,$0.97,22.59
2017-01-31,19.31,$1.04,18.56
2018-07-31,26.8,$0.96,27.92
2016-10-31,20.11,$1.53,13.12
2016-07-31,20.82,$1.55,13.43
2016-04-30,18.94,$1.51,12.57
2016-01-31,18.65,$1.52,12.25
2015-10-31,15.96,$1.56,10.25
2015-07-31,19.93,$1.60,12.48
2015-04-30,21.48,$1.66,12.97
2015-01-31,23.24,$1.68,13.81
2014-10-31,20.74,$1.63,12.75
2014-07-31,19.88,$1.62,12.25
2014-04-30,21.41,$1.62,13.24
2014-01-31,19.93,$1.63,12.25
2013-10-31,20.36,$1.73,11.77
2013-07-31,20.55,$1.71,12.02
2013-04-30,20.37,$1.69,12.06
2013-01-31,18.22,$1.67,10.89
2012-10-31,19.43,$1.62,12.02
2012-07-31,19.18,$1.58,12.16
2012-04-30,15.08,$1.55,9.75
2012-01-31,15.6,$1.51,10.35
2011-10-31,14.33,$1.57,9.11
2011-07-31,13.22,$1.57,8.42
2011-04-30,13.7,$1.53,8.95
2011-01-31,13.87,$1.50,9.25
2010-10-31,13.33,$1.34,9.97
2010-07-31,12.52,$1.30,9.63
2010-04-30,13.04,$1.27,10.27
2010-01-31,12.92,$1.23,10.48
2009-10-31,11.95,$1.15,10.39
2009-07-31,11.94,$1.11,10.75
