Globe Life PE Ratio Historical Data,Globe Life PE Ratio Historical Data,Globe Life PE Ratio Historical Data,Globe Life PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,105.05,,9.5
2024-06-30,82.04,$11.06,7.42
2024-03-31,115.78,$10.47,11.06
2023-12-31,120.88,$10.08,11.99
2023-09-30,107.76,$9.34,11.54
2023-06-30,108.42,$8.56,12.67
2023-03-31,108.81,$8.11,13.42
2022-12-31,118.78,$7.47,15.9
2022-09-30,98.04,$7.09,13.83
2022-06-30,95.65,$7.03,13.61
2022-03-31,98.52,$7.16,13.76
2021-12-31,91.6,$7.22,12.69
2021-09-30,86.83,$7.39,11.75
2021-06-30,92.7,$7.31,12.68
2021-03-31,93.86,$7.01,13.39
2020-12-31,92.06,$6.83,13.48
2020-09-30,77.28,$6.59,11.73
2020-06-30,71.61,$6.65,10.77
2020-03-31,69.24,$6.70,10.33
2019-12-31,101.09,$6.83,14.8
2019-09-30,91.8,$6.59,13.93
2019-06-30,85.6,$6.32,13.54
2019-03-31,78.26,$6.24,12.54
2018-12-31,71.02,$6.08,11.68
2018-09-30,82.46,$13.34,6.18
2018-06-30,77.28,$13.08,5.91
2018-03-31,79.75,$12.67,6.29
2017-12-31,85.8,$12.29,6.98
2017-09-30,75.62,$4.70,16.09
2017-06-30,72.23,$4.66,15.5
2017-03-31,72.59,$4.61,15.75
2016-12-31,69.24,$4.51,15.35
2016-09-30,59.84,$4.46,13.42
2016-06-30,57.91,$4.36,13.28
2016-03-31,50.61,$4.23,11.97
2015-12-31,53.15,$4.17,12.75
2015-09-30,52.44,$4.23,12.4
2015-06-30,54.01,$4.08,13.24
2015-03-31,50.83,$4.06,12.52
2014-12-31,50.01,$4.10,12.21
2014-09-30,48.12,$4.01,12.01
2014-06-30,50.18,$3.96,12.67
2014-03-31,32.01,$3.94,8.12
2013-12-31,31.79,$3.80,8.37
2013-09-30,29.3,$3.81,7.68
2013-06-30,26.31,$3.77,6.98
2013-03-31,24.08,$3.69,6.53
2012-12-31,20.75,$3.62,5.73
2012-09-30,20.56,$3.40,6.05
2012-06-30,20.18,$3.36,6.01
2012-03-31,19.84,$3.37,5.89
2011-12-31,17.22,$3.18,5.42
2011-09-30,13.79,$3.20,4.31
2011-06-30,16.92,$2.96,5.71
2011-03-31,17.49,$2.75,6.36
2010-12-31,15.64,$2.81,5.56
2010-09-30,13.91,$2.56,5.43
2010-06-30,12.92,$2.47,5.23
2010-03-31,13.92,$2.40,5.79
2009-12-31,11.36,$2.16,5.27
