GSK PE Ratio Historical Data,GSK PE Ratio Historical Data,GSK PE Ratio Historical Data,GSK PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,38.96,,15.71
2024-06-30,38.14,$2.48,15.38
2024-03-31,42.11,$2.76,15.26
2023-12-31,36.06,$3.01,11.98
2023-09-30,34.91,$3.72,9.38
2023-06-30,33.99,$8.76,3.88
2023-03-31,33.59,$8.28,4.06
2022-12-31,32.85,$8.58,3.83
2022-09-30,27.23,$8.16,3.34
2022-06-30,49.81,$3.02,16.49
2022-03-31,49.46,$3.46,14.28
2021-12-31,49.35,$3.00,16.45
2021-09-30,42.23,$2.95,14.32
2021-06-30,43.48,$2.96,14.68
2021-03-31,38.45,$3.41,11.27
2020-12-31,38.93,$3.68,10.59
2020-09-30,39.28,$4.06,9.67
2020-06-30,42.06,$4.21,9.99
2020-03-31,38.63,$3.43,11.28
2019-12-31,47.28,$2.98,15.89
2019-09-30,42.46,$2.93,14.51
2019-06-30,39.36,$2.90,13.57
2019-03-31,40.62,$2.59,15.7
2018-12-31,36.59,$2.43,15.09
2018-09-30,38.02,$1.26,30.12
2018-06-30,37.7,$1.14,33.14
2018-03-31,36.08,$0.71,50.64
2017-12-31,32.18,$0.99,32.59
2017-09-30,36.32,$1.53,23.81
2017-06-30,38.09,$1.25,30.47
2017-03-31,36.81,$1.04,35.48
2016-12-31,33.16,$0.59,56.45
2016-09-30,36.71,$0.15,244.75
2016-06-30,36.51,$0.04,973.49
2016-03-31,33.76,$0.48,71.07
2015-12-31,32.58,$6.56,4.96
2015-09-30,30.63,$7.64,4.01
2015-06-30,32.75,$7.55,4.34
2015-03-31,35.82,$8.01,4.47
2014-12-31,32.69,$2.29,14.29
2014-09-30,34.69,$3.54,9.81
2014-06-30,39.82,$4.00,9.95
2014-03-31,39.32,$4.24,9.28
2013-12-31,38.77,$4.43,8.76
2013-09-30,36.01,$3.09,11.66
2013-06-30,35.48,$3.20,11.09
2013-03-31,32.95,$3.38,9.76
2012-12-31,30.08,$3.68,8.18
2012-09-30,31.56,$3.94,8.02
2012-06-30,30.76,$4.10,7.5
2012-03-31,29.95,$3.99,7.51
2011-12-31,29.88,$4.11,7.27
2011-09-30,26.7,$2.60,10.27
2011-06-30,27.42,$2.50,10.97
2011-03-31,24.25,$1.40,17.32
2010-12-31,24.37,$1.21,20.1
2010-09-30,24.25,$3.05,7.95
2010-06-30,20.6,$3.15,6.54
2010-03-31,23.04,$4.54,5.08
2009-12-31,24.89,$4.34,5.74
