Radian Group PE Ratio Historical Data,Radian Group PE Ratio Historical Data,Radian Group PE Ratio Historical Data,Radian Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,35.84,,9.31
2024-06-30,30.89,$3.85,8.02
2024-03-31,33.24,$3.78,8.79
2023-12-31,28.11,$3.78,7.44
2023-09-30,24.5,$3.88,6.31
2023-06-30,24.46,$4.10,5.97
2023-03-31,21.2,$4.34,4.88
2022-12-31,18.1,$4.37,4.14
2022-09-30,18.12,$4.43,4.09
2022-06-30,18.3,$3.90,4.69
2022-03-31,20.49,$3.55,5.77
2021-12-31,19.32,$3.18,6.08
2021-09-30,20.64,$2.87,7.19
2021-06-30,20.1,$2.90,6.93
2021-03-31,20.87,$1.95,10.7
2020-12-31,18.07,$2.01,8.99
2020-09-30,12.95,$2.04,6.35
2020-06-30,13.63,$2.17,6.28
2020-03-31,11.29,$3.10,3.64
2019-12-31,21.82,$3.18,6.86
2019-09-30,19.81,$3.03,6.54
2019-06-30,19.81,$2.86,6.93
2019-03-31,17.98,$3.04,5.92
2018-12-31,14.18,$2.78,5.1
2018-09-30,17.92,$2.17,8.26
2018-06-30,14.06,$1.81,7.77
2018-03-31,16.5,$0.72,22.92
2017-12-31,17.86,$0.54,33.07
2017-09-30,16.19,$0.78,20.76
2017-06-30,14.16,$0.85,16.66
2017-03-31,15.55,$1.42,10.95
2016-12-31,15.57,$1.37,11.36
2016-09-30,11.73,$1.42,8.26
2016-06-30,9.02,$1.34,6.73
2016-03-31,10.73,$1.12,9.58
2015-12-31,11.59,$1.22,9.5
2015-09-30,13.76,$2.68,5.14
2015-06-30,16.23,$3.06,5.3
2015-03-31,14.52,$3.62,4.01
2014-12-31,14.46,$4.17,3.47
2014-09-30,12.33,$2.58,4.78
2014-06-30,12.8,$1.84,6.96
2014-03-31,12.99,$0.87,14.93
2013-12-31,12.2,$-1.37,0.0
2013-09-30,12.04,$-2.90,0.0
2013-06-30,10.04,$-2.72,0.0
2013-03-31,9.25,$-3.43,0.0
2012-12-31,5.28,$-3.41,0.0
2012-09-30,3.75,$-2.99,0.0
2012-06-30,2.84,$-1.73,0.0
2012-03-31,3.75,$0.20,18.73
2011-12-31,2.01,$2.25,0.9
2011-09-30,1.88,$-5.38,0.0
2011-06-30,3.63,$-5.91,0.0
2011-03-31,5.85,$-12.72,0.0
2010-12-31,6.92,$-17.26,0.0
2010-09-30,6.71,$-9.83,0.0
2010-06-30,6.21,$-11.53,0.0
2010-03-31,13.41,$-2.93,0.0
2009-12-31,6.26,$-1.85,0.0
