A O Smith PE Ratio Historical Data,A O Smith PE Ratio Historical Data,A O Smith PE Ratio Historical Data,A O Smith PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,83.72,,21.58
2024-06-30,81.47,$3.88,21.0
2024-03-31,88.79,$3.86,23.0
2023-12-31,81.49,$3.70,22.03
2023-09-30,65.07,$2.00,32.54
2023-06-30,71.32,$1.81,39.4
2023-03-31,67.47,$1.58,42.7
2022-12-31,55.57,$1.50,37.04
2022-09-30,46.9,$3.15,14.89
2022-06-30,52.55,$3.26,16.12
2022-03-31,61.11,$3.18,19.22
2021-12-31,81.82,$3.02,27.09
2021-09-30,57.97,$2.89,20.06
2021-06-30,68.15,$2.72,25.06
2021-03-31,63.7,$2.41,26.43
2020-12-31,51.42,$2.13,24.14
2020-09-30,49.28,$1.95,25.27
2020-06-30,43.76,$1.83,23.91
2020-03-31,34.93,$2.02,17.29
2019-12-31,43.76,$2.23,19.63
2019-09-30,43.62,$2.41,18.1
2019-06-30,42.91,$2.49,17.23
2019-03-31,48.32,$2.54,19.03
2018-12-31,38.52,$2.58,14.93
2018-09-30,47.92,$1.97,24.32
2018-06-30,52.94,$1.90,27.87
2018-03-31,56.75,$1.77,32.06
2017-12-31,54.54,$1.70,32.08
2017-09-30,52.77,$2.04,25.87
2017-06-30,49.89,$1.97,25.33
2017-03-31,45.19,$1.93,23.42
2016-12-31,41.71,$1.85,22.61
2016-09-30,43.39,$1.83,23.78
2016-06-30,38.6,$1.77,21.87
2016-03-31,33.33,$1.67,19.96
2015-12-31,33.34,$1.58,21.1
2015-09-30,28.3,$1.43,19.86
2015-06-30,31.17,$1.30,24.07
2015-03-31,28.35,$1.22,23.33
2014-12-31,24.28,$1.15,21.2
2014-09-30,20.29,$1.08,18.79
2014-06-30,21.21,$1.05,20.2
2014-03-31,19.63,$0.96,20.44
2013-12-31,22.93,$0.92,25.06
2013-09-30,19.17,$0.90,21.36
2013-06-30,15.34,$0.85,18.15
2013-03-31,15.5,$0.81,19.2
2012-12-31,13.25,$0.77,17.21
2012-09-30,12.05,$1.54,7.85
2012-06-30,10.2,$1.61,6.35
2011-12-31,8.31,$1.64,5.07
2011-09-30,6.61,$1.64,4.03
2011-06-30,8.69,$0.92,9.47
2011-03-31,9.08,$0.82,11.07
2010-12-31,7.78,$0.69,11.26
2012-03-31,9.35,$0.69,13.61
2010-09-30,7.86,$0.55,14.17
2010-06-30,6.53,$0.57,11.42
2010-03-31,7.1,$0.60,11.87
2009-12-31,5.85,$0.48,12.22
