Thermo Fisher Scientific PE Ratio Historical Data,Thermo Fisher Scientific PE Ratio Historical Data,Thermo Fisher Scientific PE Ratio Historical Data,Thermo Fisher Scientific PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,615.07,,38.16
2024-06-30,553.0,$16.12,34.31
2024-03-31,580.81,$15.59,37.26
2023-12-31,530.07,$15.45,34.31
2023-09-30,505.15,$15.26,33.1
2023-06-30,520.34,$14.63,35.57
2023-03-31,574.43,$15.34,37.45
2022-12-31,548.49,$17.63,31.11
2022-09-30,504.9,$17.79,28.38
2022-06-30,540.53,$18.79,28.77
2022-03-31,587.32,$19.18,30.62
2021-12-31,663.12,$19.45,34.09
2021-09-30,567.56,$21.52,26.37
2021-06-30,500.91,$21.57,23.22
2021-03-31,452.91,$19.86,22.81
2020-12-31,461.98,$15.95,28.96
2020-09-30,437.71,$12.20,35.88
2020-06-30,359.03,$9.24,38.86
2020-03-31,280.83,$9.12,30.79
2019-12-31,321.46,$9.17,35.06
2019-09-30,288.04,$8.90,32.36
2019-06-30,290.24,$8.77,33.09
2019-03-31,270.33,$7.84,34.48
2018-12-31,220.86,$7.25,30.46
2018-09-30,240.71,$6.33,38.03
2018-06-30,204.14,$5.92,34.48
2018-03-31,203.31,$5.63,36.11
2017-12-31,186.83,$5.60,33.36
2017-09-30,186.01,$5.89,31.58
2017-06-30,171.4,$5.74,29.86
2017-03-31,150.77,$5.48,27.51
2016-12-31,138.37,$5.09,27.18
2016-09-30,155.82,$5.00,31.16
2016-06-30,144.6,$4.99,28.98
2016-03-31,138.42,$4.96,27.91
2015-12-31,138.53,$4.91,28.21
2015-09-30,119.28,$4.90,24.34
2015-06-30,126.43,$4.89,25.85
2015-03-31,130.74,$4.31,30.33
2014-12-31,121.79,$4.71,25.86
2014-09-30,118.16,$4.14,28.54
2014-06-30,114.43,$3.83,29.88
2014-03-31,116.45,$3.90,29.86
2013-12-31,107.71,$3.47,31.04
2013-09-30,89.01,$3.59,24.79
2013-06-30,81.61,$3.52,23.18
2013-03-31,73.63,$3.39,21.72
2012-12-31,61.28,$3.21,19.09
2012-09-30,56.39,$2.94,19.18
2012-06-30,49.65,$2.84,17.48
2012-03-31,53.79,$3.57,15.07
2011-12-31,42.8,$3.46,12.37
2011-09-30,48.2,$3.44,14.01
2011-06-30,61.29,$3.41,17.97
2011-03-31,52.87,$2.62,20.18
2010-12-31,52.69,$2.54,20.74
2010-09-30,45.57,$2.44,18.68
2010-06-30,46.69,$2.31,20.21
2010-03-31,48.96,$2.23,21.96
2009-12-31,45.39,$2.02,22.47
