Pactiv Evergreen PE Ratio Historical Data,Pactiv Evergreen PE Ratio Historical Data,Pactiv Evergreen PE Ratio Historical Data,Pactiv Evergreen PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,12.3,,29.29
2024-06-30,11.32,$0.42,26.95
2024-03-31,14.32,$-0.46,0.0
2023-12-31,13.71,$-0.35,0.0
2023-09-30,8.13,$0.51,15.94
2023-06-30,7.57,$0.75,10.09
2022-12-31,11.36,$1.77,6.42
2022-09-30,8.73,$1.79,4.88
2022-06-30,9.87,$0.05,197.4
2022-03-31,9.87,$-0.35,0.0
2021-12-31,12.31,$-0.55,0.0
2023-03-31,8.0,$-0.81,0.0
2021-09-30,12.06,$1.28,9.42
2021-06-30,14.41,$-1.31,0.0
