SM Energy PE Ratio Historical Data,SM Energy PE Ratio Historical Data,SM Energy PE Ratio Historical Data,SM Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,43.52,,6.26
2024-06-30,43.06,$6.95,6.2
2024-03-31,49.47,$6.38,7.75
2023-12-31,38.23,$6.87,5.57
2023-09-30,39.01,$6.84,5.7
2023-06-30,30.99,$8.83,3.51
2023-03-31,27.44,$10.18,2.7
2022-12-31,33.79,$8.95,3.78
2022-09-30,36.36,$10.29,3.53
2022-06-30,33.05,$7.11,4.65
2022-03-31,37.65,$2.63,14.31
2021-12-31,28.49,$0.05,569.88
2021-09-30,25.49,$-4.82,0.0
2021-06-30,23.8,$-6.37,0.0
2021-03-31,15.81,$-5.28,0.0
2020-12-31,5.91,$-6.73,0.0
2020-09-30,1.53,$-6.19,0.0
2020-06-30,3.6,$-4.96,0.0
2020-03-31,1.16,$-3.72,0.0
2019-12-31,10.73,$-1.66,0.0
2019-09-30,9.19,$1.97,4.66
2019-06-30,11.87,$0.39,30.44
2019-03-31,16.54,$0.09,183.73
2018-12-31,14.64,$4.48,3.27
2018-09-30,29.75,$1.51,19.7
2018-06-30,24.24,$1.92,12.63
2018-03-31,16.98,$0.69,24.6
2017-12-31,20.79,$-1.45,0.0
2017-09-30,16.66,$-3.41,0.0
2017-06-30,15.52,$-3.13,0.0
2017-03-31,22.5,$-4.53,0.0
2016-12-31,32.3,$-10.30,0.0
2016-09-30,36.1,$-13.11,0.0
2016-06-30,25.26,$-12.54,0.0
2016-03-31,17.5,$-10.91,0.0
2015-12-31,18.36,$-6.60,0.0
2015-09-30,29.88,$3.32,9.0
2015-06-30,43.02,$6.32,6.81
2015-03-31,48.16,$8.05,5.98
2014-12-31,35.95,$9.80,3.67
2014-09-30,72.63,$4.99,14.55
2014-06-30,78.31,$2.98,26.28
2014-03-31,66.34,$3.23,20.54
2013-12-31,77.33,$1.25,61.87
2013-09-30,71.78,$0.57,125.93
2013-06-30,55.78,$-0.10,0.0
2012-12-31,48.51,$-0.84,0.0
2012-09-30,50.23,$-1.71,0.0
2012-06-30,45.59,$-0.88,0.0
2012-03-31,65.65,$2.16,30.39
2011-12-31,67.81,$3.63,18.68
2013-03-31,55.03,$5.23,10.52
2011-09-30,56.23,$5.55,10.13
2011-06-30,68.12,$2.38,28.62
2011-03-31,68.73,$2.48,27.71
2010-12-31,54.6,$2.79,19.57
2010-09-30,34.66,$2.15,16.12
2010-03-31,32.17,$1.78,18.07
2009-12-31,31.64,$-1.59,0.0
2009-09-30,29.95,$-1.33,0.0
