Haemonetics PE Ratio Historical Data,Haemonetics PE Ratio Historical Data,Haemonetics PE Ratio Historical Data,Haemonetics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,75.94,,34.05
2024-06-30,82.73,$2.23,37.1
2024-03-31,85.35,$2.29,37.27
2023-12-31,85.51,$2.46,34.76
2023-09-30,89.58,$2.49,35.98
2023-06-30,85.14,$2.65,32.13
2023-03-31,82.75,$2.23,37.11
2022-12-31,78.65,$1.85,42.51
2022-09-30,74.03,$1.66,44.6
2022-06-30,65.18,$1.31,49.76
2022-03-31,63.22,$0.84,75.26
2021-12-31,53.04,$0.43,123.35
2021-09-30,70.59,$0.60,117.65
2021-06-30,66.64,$1.25,53.31
2021-03-31,111.01,$1.55,71.62
2020-12-31,118.75,$2.11,56.28
2020-09-30,87.25,$2.07,42.15
2020-06-30,89.56,$1.85,48.41
2020-03-31,99.66,$1.47,67.8
2019-12-31,114.9,$1.53,75.1
2019-09-30,126.14,$1.30,97.03
2019-06-30,120.34,$0.93,129.4
2019-03-31,87.48,$1.05,83.31
2018-12-31,100.05,$0.87,115.0
2018-09-30,114.58,$0.40,286.45
2018-06-30,89.68,$0.43,208.56
2018-03-31,73.16,$0.86,85.07
2017-12-31,58.08,$-0.34,0.0
2017-09-30,44.87,$0.08,560.87
2017-06-30,39.49,$0.08,493.63
2017-03-31,40.57,$-0.50,0.0
2016-12-31,40.2,$0.31,129.68
2016-09-30,36.21,$-1.16,0.0
2016-06-30,28.99,$-1.29,0.0
2016-03-31,34.98,$-1.10,0.0
2015-12-31,32.24,$-0.99,0.0
2015-09-30,32.32,$0.49,65.96
2015-06-30,41.36,$0.38,108.84
2015-03-31,44.92,$0.32,140.38
2014-12-31,37.42,$0.57,65.65
2014-09-30,34.92,$0.57,61.26
2014-06-30,35.28,$0.75,47.04
2014-03-31,32.59,$0.67,48.64
2013-12-31,42.13,$0.72,58.51
2013-09-30,39.88,$0.60,66.47
2013-06-30,41.35,$0.41,102.1
2013-03-31,41.66,$0.75,55.92
2012-12-31,40.84,$0.85,48.05
2012-09-30,40.1,$1.02,39.31
2012-06-30,37.06,$1.17,31.81
2012-03-31,34.84,$1.30,26.8
2011-12-31,30.61,$1.36,22.51
2011-09-30,29.24,$1.39,21.11
2011-06-30,32.19,$1.54,20.9
2011-03-31,32.77,$1.57,20.94
2010-12-31,31.59,$1.24,25.58
2010-09-30,29.27,$1.21,24.29
2010-06-30,26.76,$1.13,23.79
2010-03-31,28.58,$1.12,25.51
2009-12-31,27.58,$1.31,21.05
