Plug Power PE Ratio Historical Data,Plug Power PE Ratio Historical Data,Plug Power PE Ratio Historical Data,Plug Power PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,2.04,,0.0
2024-06-30,2.33,$-2.36,0.0
2024-03-31,3.44,$-2.40,0.0
2023-12-31,4.5,$-2.29,0.0
2023-09-30,7.6,$-1.60,0.0
2023-06-30,10.39,$-1.43,0.0
2023-03-31,11.72,$-1.33,0.0
2022-12-31,12.37,$-1.25,0.0
2022-09-30,21.01,$-1.20,0.0
2022-06-30,16.57,$-1.09,0.0
2022-03-31,28.61,$-0.97,0.0
2021-12-31,28.23,$-0.82,0.0
2021-09-30,25.54,$-1.61,0.0
2021-06-30,34.19,$-1.53,0.0
2021-03-31,35.84,$-1.38,0.0
2020-12-31,33.91,$-1.38,0.0
2020-09-30,13.41,$-0.33,0.0
2020-06-30,8.21,$-0.31,0.0
2020-03-31,3.54,$-0.36,0.0
2019-12-31,3.16,$-0.39,0.0
2019-09-30,2.63,$-0.40,0.0
2019-06-30,2.25,$-0.38,0.0
2019-03-31,2.4,$-0.42,0.0
2018-12-31,1.24,$-0.36,0.0
2018-09-30,1.92,$-0.37,0.0
2018-06-30,2.02,$-0.48,0.0
2018-03-31,1.89,$-0.55,0.0
2017-12-31,2.36,$-0.59,0.0
2017-09-30,2.61,$-0.61,0.0
2017-06-30,2.04,$-0.50,0.0
2017-03-31,1.38,$-0.38,0.0
2016-12-31,1.2,$-0.39,0.0
2016-09-30,1.71,$-0.34,0.0
2016-03-31,2.05,$-0.32,0.0
2015-12-31,2.11,$-0.31,0.0
2015-09-30,1.84,$-0.21,0.0
2015-06-30,2.45,$-0.22,0.0
2015-03-31,2.59,$-0.23,0.0
2014-12-31,3.0,$-0.15,0.0
2016-06-30,1.86,$-0.68,0.0
2014-09-30,4.59,$-0.89,0.0
2014-06-30,4.68,$-1.02,0.0
2014-03-31,7.1,$-1.18,0.0
2013-12-31,1.55,$-0.79,0.0
2013-09-30,0.74,$-0.73,0.0
2013-06-30,0.38,$-0.81,0.0
2013-03-31,0.22,$-0.84,0.0
2012-12-31,0.5,$-0.94,0.0
2012-09-30,0.83,$-1.04,0.0
2012-06-30,1.14,$-1.05,0.0
2012-03-31,1.31,$-1.29,0.0
2011-12-31,2.04,$-1.51,0.0
2011-09-30,1.82,$-1.89,0.0
2011-06-30,2.22,$-2.31,0.0
2011-03-31,7.6,$-3.30,0.0
2010-12-31,3.71,$-3.70,0.0
2010-09-30,3.82,$-3.90,0.0
2010-06-30,4.59,$-4.00,0.0
2010-03-31,6.9,$-3.40,0.0
2009-12-31,7.1,$-3.10,0.0
