Sarepta Therapeutics PE Ratio Historical Data,Sarepta Therapeutics PE Ratio Historical Data,Sarepta Therapeutics PE Ratio Historical Data,Sarepta Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,124.25,,276.11
2024-06-30,158.0,$0.45,351.11
2024-03-31,129.46,$0.11,1176.91
2023-12-31,96.43,$-6.12,0.0
2023-09-30,121.22,$-7.83,0.0
2023-06-30,114.52,$-10.31,0.0
2023-03-31,137.83,$-12.69,0.0
2022-12-31,129.58,$-8.03,0.0
2022-09-30,110.54,$-8.21,0.0
2022-06-30,74.96,$-5.87,0.0
2022-03-31,78.12,$-4.24,0.0
2021-12-31,90.05,$-5.14,0.0
2021-09-30,92.48,$-6.12,0.0
2021-06-30,77.74,$-8.02,0.0
2021-03-31,74.53,$-8.93,0.0
2020-12-31,170.49,$-9.99,0.0
2020-09-30,140.43,$-9.29,0.0
2020-06-30,160.34,$-10.53,0.0
2019-12-31,129.04,$-9.67,0.0
2019-09-30,75.32,$-8.56,0.0
2019-06-30,151.95,$-7.09,0.0
2019-03-31,119.19,$-4.50,0.0
2018-12-31,109.13,$-5.10,0.0
2020-03-31,97.82,$-3.60,0.0
2018-09-30,161.51,$-3.74,0.0
2018-06-30,132.18,$-3.37,0.0
2018-03-31,74.09,$-2.85,0.0
2017-12-31,55.64,$-0.80,0.0
2017-09-30,45.36,$-2.05,0.0
2017-06-30,33.71,$-2.45,0.0
2017-03-31,29.6,$-2.65,0.0
2016-12-31,27.43,$-5.46,0.0
2016-09-30,61.41,$-5.28,0.0
2016-06-30,19.07,$-5.35,0.0
2016-03-31,19.52,$-5.01,0.0
2015-12-31,38.58,$-5.19,0.0
2015-09-30,32.11,$-4.83,0.0
2015-06-30,30.43,$-4.29,0.0
2015-03-31,13.28,$-4.13,0.0
2014-12-31,14.47,$-3.39,0.0
2014-09-30,21.1,$-2.54,0.0
2014-06-30,29.79,$-3.07,0.0
2014-03-31,24.03,$-2.82,0.0
2013-12-31,20.37,$-3.39,0.0
2013-09-30,47.23,$-5.52,0.0
2013-06-30,38.04,$-6.45,0.0
2013-03-31,36.95,$-5.50,0.0
2012-12-31,25.8,$-4.96,0.0
2012-09-30,15.53,$-2.66,0.0
2012-06-30,3.76,$-0.67,0.0
2012-03-31,9.24,$-0.96,0.0
2011-12-31,4.47,$-0.06,0.0
2011-09-30,6.72,$-0.42,0.0
2011-06-30,8.58,$-0.66,0.0
2011-03-31,11.16,$-1.62,0.0
2010-12-31,12.72,$-1.80,0.0
2010-09-30,10.98,$-1.20,0.0
2010-06-30,9.66,$-1.26,0.0
2010-03-31,7.08,$-1.74,0.0
2009-12-31,8.76,$-1.74,0.0
