Dynavax Technologies PE Ratio Historical Data,Dynavax Technologies PE Ratio Historical Data,Dynavax Technologies PE Ratio Historical Data,Dynavax Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,10.92,,99.27
2024-06-30,11.23,$0.11,102.09
2024-03-31,12.41,$0.06,206.83
2023-12-31,13.98,$-0.06,0.0
2023-09-30,14.77,$0.39,37.87
2023-06-30,12.92,$0.72,17.94
2023-03-31,9.81,$1.56,6.29
2022-12-31,10.64,$1.97,5.4
2022-09-30,10.44,$2.07,5.04
2022-06-30,12.59,$1.40,8.99
2022-03-31,10.84,$0.55,19.71
2021-12-31,14.07,$0.34,41.38
2021-09-30,19.21,$-0.35,0.0
2021-06-30,9.85,$-0.26,0.0
2021-03-31,9.83,$-0.81,0.0
2020-12-31,4.45,$-1.07,0.0
2020-09-30,4.32,$-1.37,0.0
2020-06-30,8.87,$-1.71,0.0
2020-03-31,3.53,$-1.84,0.0
2019-12-31,5.72,$-2.21,0.0
2019-09-30,3.58,$-2.41,0.0
2019-06-30,3.99,$-2.57,0.0
2019-03-31,7.31,$-2.54,0.0
2018-12-31,9.15,$-2.55,0.0
2018-09-30,12.4,$-2.36,0.0
2018-06-30,15.25,$-2.09,0.0
2018-03-31,19.85,$-1.87,0.0
2017-12-31,18.7,$-1.84,0.0
2017-09-30,21.5,$-1.95,0.0
2017-06-30,9.65,$-2.47,0.0
2017-03-31,5.95,$-2.81,0.0
2016-12-31,3.95,$-2.91,0.0
2016-09-30,10.49,$-3.05,0.0
2016-06-30,14.58,$-2.97,0.0
2016-03-31,19.24,$-3.02,0.0
2015-12-31,24.16,$-3.29,0.0
2015-09-30,24.54,$-3.44,0.0
2015-06-30,23.43,$-3.72,0.0
2015-03-31,22.43,$-2.02,0.0
2014-12-31,16.86,$-1.55,0.0
2014-09-30,14.3,$-1.60,0.0
2014-06-30,16.0,$-1.40,0.0
2014-03-31,18.08,$-3.20,0.0
2013-12-31,19.6,$-3.80,0.0
2013-09-30,11.9,$-4.00,0.0
2013-06-30,11.0,$-4.10,0.0
2013-03-31,22.2,$-4.10,0.0
2012-12-31,28.5,$-4.10,0.0
2012-09-30,47.6,$-3.30,0.0
2012-06-30,43.2,$-3.50,0.0
2012-03-31,50.3,$-3.50,0.0
2011-12-31,33.2,$-4.00,0.0
2011-09-30,18.6,$-5.10,0.0
2011-06-30,27.5,$-4.50,0.0
2011-03-31,27.6,$-7.00,0.0
2010-12-31,32.0,$-7.10,0.0
2010-09-30,18.3,$-13.00,0.0
2010-06-30,18.6,$-14.80,0.0
2010-03-31,13.0,$-10.40,0.0
2009-12-31,14.2,$-7.40,0.0
