Stride PE Ratio Historical Data,Stride PE Ratio Historical Data,Stride PE Ratio Historical Data,Stride PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,65.66,,14.06
2024-06-30,70.5,$4.67,15.1
2024-03-31,63.05,$4.26,14.8
2023-12-31,59.37,$3.96,14.99
2023-09-30,45.03,$3.61,12.47
2023-06-30,37.23,$2.96,12.58
2023-03-31,39.25,$2.61,15.04
2022-12-31,31.28,$2.33,13.42
2022-09-30,42.03,$2.14,19.64
2022-06-30,40.79,$2.53,16.12
2022-03-31,36.33,$2.12,17.14
2021-12-31,33.33,$1.67,19.96
2021-09-30,35.94,$1.27,28.3
2021-06-30,32.13,$1.72,18.68
2021-03-31,30.11,$1.59,18.94
2020-12-31,21.23,$1.24,17.12
2020-09-30,26.34,$1.16,22.71
2020-06-30,27.24,$0.61,44.66
2020-03-31,18.86,$0.57,33.09
2019-12-31,20.35,$0.79,25.76
2019-09-30,26.4,$0.86,30.7
2019-06-30,30.41,$1.34,22.69
2019-03-31,34.13,$1.58,21.6
2018-12-31,24.79,$1.47,16.86
2018-06-30,16.37,$0.67,24.43
2018-03-31,14.18,$0.27,52.52
2017-12-31,15.9,$0.18,88.33
2017-09-30,17.84,$0.15,118.93
2017-06-30,17.92,0,0.0
2017-03-31,19.15,$0.14,136.79
2016-12-31,17.16,$0.28,61.29
2016-09-30,14.35,$0.21,68.33
2016-06-30,12.49,$0.23,54.3
2016-03-31,9.89,$-0.05,0.0
2015-12-31,8.8,$0.03,293.33
2015-09-30,12.44,$0.13,95.69
2015-06-30,12.65,$0.29,43.62
2015-03-31,15.72,$0.92,17.09
2014-12-31,11.87,$0.87,13.64
2014-09-30,15.96,$0.45,35.47
2014-06-30,24.07,$0.50,48.14
2014-03-31,22.65,$0.24,94.38
2013-12-31,21.75,$0.15,145.0
2013-09-30,30.88,$0.48,64.33
2013-06-30,26.27,$0.72,36.49
2013-03-31,24.11,$0.44,54.8
2012-12-31,20.44,$0.18,113.56
2012-09-30,20.2,$0.12,168.33
2018-09-30,17.7,$0.12,147.5
2012-06-30,23.3,$0.46,50.65
2012-03-31,23.63,$0.33,71.61
2011-12-31,17.94,$0.31,57.87
2011-09-30,25.46,$0.43,59.21
2011-06-30,33.14,$0.38,87.21
2011-03-31,33.7,$0.42,80.24
2010-12-31,28.66,$0.46,62.3
2010-09-30,29.03,$0.55,52.78
2010-06-30,22.18,$0.72,30.81
2010-03-31,22.21,$0.74,30.01
2009-12-31,20.27,$0.66,30.71
