Encompass Health PE Ratio Historical Data,Encompass Health PE Ratio Historical Data,Encompass Health PE Ratio Historical Data,Encompass Health PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,96.89,,24.72
2024-06-30,85.49,$3.92,21.81
2024-03-31,82.29,$3.70,22.24
2023-12-31,66.36,$3.47,19.13
2023-09-30,66.65,$3.50,19.04
2023-06-30,67.05,$3.11,21.56
2023-03-31,53.45,$2.70,19.8
2022-12-31,58.93,$2.70,21.83
2022-09-30,44.45,$2.72,16.34
2022-06-30,54.59,$3.27,16.69
2022-03-31,69.26,$3.91,17.71
2021-12-31,63.31,$3.90,16.23
2021-09-30,72.49,$3.77,19.23
2021-06-30,75.09,$3.11,24.15
2020-12-31,79.02,$2.85,27.73
2020-09-30,61.89,$2.67,23.18
2020-06-30,58.73,$2.96,19.84
2020-03-31,60.45,$3.60,16.79
2019-12-31,65.11,$3.65,17.84
2021-03-31,78.54,$4.00,19.63
2019-09-30,59.24,$3.21,18.46
2019-06-30,59.06,$3.12,18.93
2019-03-31,54.2,$3.12,17.37
2018-12-31,57.0,$2.93,19.45
2018-09-30,72.01,$3.26,22.09
2018-06-30,62.35,$3.04,20.51
2018-03-31,52.44,$2.82,18.6
2017-12-31,45.13,$2.68,16.84
2017-09-30,42.12,$2.75,15.32
2017-06-30,43.74,$2.72,16.08
2017-03-31,38.5,$2.67,14.42
2016-12-31,36.88,$2.58,14.3
2016-09-30,36.07,$2.39,15.09
2016-06-30,34.31,$2.27,15.12
2016-03-31,33.07,$2.07,15.97
2015-12-31,30.4,$1.90,16.0
2015-09-30,33.29,$1.85,18.0
2015-06-30,39.72,$1.85,21.47
2015-03-31,38.08,$2.25,16.93
2014-12-31,32.86,$2.29,14.35
2014-09-30,31.36,$1.54,20.37
2014-06-30,30.31,$1.60,18.95
2014-03-31,30.21,$2.41,12.54
2013-12-31,27.88,$2.41,11.57
2013-09-30,28.69,$3.16,9.08
2013-06-30,23.84,$3.02,7.89
2013-03-31,21.83,$1.79,12.19
2012-12-31,17.47,$1.70,10.28
2012-09-30,19.92,$1.72,11.58
2012-06-30,19.25,$1.82,10.58
2012-03-31,16.95,$1.56,10.87
2011-12-31,14.63,$1.90,7.7
2011-09-30,12.36,$8.60,1.44
2011-06-30,21.73,$8.33,2.61
2011-03-31,20.68,$8.60,2.4
2010-12-31,17.14,$8.24,2.08
2010-09-30,15.89,$1.43,11.11
2010-06-30,15.49,$1.28,12.1
2010-03-31,15.48,$0.70,22.11
2009-12-31,15.54,$0.77,20.18
