Brixmor Property Group PE Ratio Historical Data,Brixmor Property Group PE Ratio Historical Data,Brixmor Property Group PE Ratio Historical Data,Brixmor Property Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,27.81,,28.67
2024-06-30,22.59,$0.97,23.29
2024-03-31,22.67,$0.93,24.38
2023-12-31,22.24,$1.01,22.02
2023-09-30,19.61,$1.12,17.51
2023-06-30,20.51,$1.17,17.53
2023-03-31,19.82,$1.27,15.61
2022-12-31,20.65,$1.16,17.8
2022-09-30,16.61,$1.08,15.38
2022-06-30,17.96,$0.97,18.52
2022-03-31,22.72,$0.98,23.19
2021-12-31,22.17,$0.90,24.63
2021-09-30,19.11,$0.71,26.91
2021-06-30,19.6,$0.65,30.15
2021-03-31,17.14,$0.38,45.11
2020-12-31,13.83,$0.40,34.59
2020-09-30,9.77,$0.53,18.44
2020-06-30,10.72,$0.71,15.09
2020-03-31,7.66,$0.91,8.42
2019-12-31,17.2,$0.92,18.69
2019-09-30,15.92,$0.97,16.41
2019-06-30,13.82,$1.19,11.61
2019-03-31,13.98,$1.22,11.46
2018-12-31,10.96,$1.21,9.06
2018-09-30,12.85,$1.18,10.89
2018-06-30,12.59,$0.96,13.11
2018-03-31,10.82,$0.95,11.39
2017-12-31,13.05,$0.98,13.31
2017-09-30,12.96,$1.06,12.23
2017-06-30,12.16,$0.98,12.41
2017-03-31,14.42,$0.94,15.34
2016-12-31,16.23,$0.91,17.84
2016-09-30,18.31,$0.78,23.47
2016-06-30,17.27,$0.77,22.43
2016-03-31,16.57,$0.74,22.39
2015-12-31,16.54,$0.64,25.84
2015-09-30,14.89,$0.54,27.58
2015-06-30,14.53,$0.47,30.91
2015-03-31,16.54,$0.39,42.4
2014-12-31,15.33,$0.36,42.59
2014-09-30,13.62,$0.22,61.9
