Assurant PE Ratio Historical Data,Assurant PE Ratio Historical Data,Assurant PE Ratio Historical Data,Assurant PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,196.35,,13.08
2024-06-30,166.25,$15.01,11.08
2024-03-31,187.46,$14.33,13.08
2023-12-31,167.07,$11.98,13.95
2023-09-30,141.75,$9.83,14.42
2023-06-30,123.5,$6.43,19.21
2023-03-31,117.29,$4.48,26.18
2022-12-31,121.5,$4.95,24.55
2022-09-30,140.37,$5.82,24.12
2022-06-30,166.32,$20.51,8.11
2022-03-31,174.31,$22.88,7.62
2021-12-31,148.81,$22.93,6.49
2021-09-30,149.97,$23.02,6.51
2021-06-30,147.9,$7.61,19.43
2021-03-31,133.7,$7.10,18.83
2020-12-31,127.79,$6.89,18.55
2020-09-30,113.24,$6.64,17.05
2020-06-30,95.93,$6.26,15.32
2020-03-31,96.07,$5.66,16.97
2019-12-31,120.44,$5.75,20.95
2019-09-30,115.06,$4.09,28.13
2019-06-30,96.8,$5.81,16.66
2019-03-31,85.85,$4.69,18.3
2018-12-31,80.41,$4.13,19.47
2018-09-30,96.46,$9.57,10.08
2018-06-30,91.98,$7.76,11.85
2018-03-31,80.77,$8.83,9.15
2017-12-31,88.55,$9.40,9.42
2017-09-30,83.4,$4.18,19.95
2017-06-30,90.05,$7.60,11.85
2017-03-31,82.64,$8.14,10.15
2016-12-31,79.79,$8.95,8.91
2016-09-30,78.78,$9.38,8.4
2016-06-30,73.29,$6.91,10.61
2016-03-31,65.14,$4.68,13.92
2015-12-31,67.53,$2.05,32.94
2015-09-30,65.86,$1.77,37.21
2015-06-30,55.63,$3.79,14.68
2015-03-31,50.76,$5.27,9.63
2014-12-31,56.31,$6.42,8.77
2014-09-30,52.7,$7.19,7.33
2014-06-30,53.5,$6.95,7.7
2014-03-31,52.81,$6.70,7.88
2013-12-31,53.74,$6.30,8.53
2013-09-30,43.47,$5.15,8.44
2013-06-30,40.72,$4.99,8.16
2013-03-31,35.82,$5.23,6.85
2012-12-31,27.48,$5.58,4.92
2012-09-30,29.35,$7.00,4.19
2012-06-30,27.25,$6.27,4.35
2012-03-31,31.48,$6.01,5.24
2011-12-31,31.78,$5.59,5.69
2011-09-30,27.57,$2.12,13.01
2011-06-30,27.78,$2.63,10.56
2011-03-31,29.36,$2.41,12.18
2010-12-31,29.25,$2.36,12.39
2010-09-30,30.77,$4.20,7.33
2010-06-30,26.12,$4.12,6.34
2010-03-31,25.75,$4.29,6.0
2009-12-31,21.98,$3.63,6.05
