SolarEdge Technologies PE Ratio Historical Data,SolarEdge Technologies PE Ratio Historical Data,SolarEdge Technologies PE Ratio Historical Data,SolarEdge Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,17.93,,0.0
2024-06-30,25.26,$-8.99,0.0
2024-03-31,70.98,$-4.65,0.0
2023-12-31,93.6,$0.45,208.0
2023-09-30,129.51,$3.66,35.39
2023-06-30,269.05,$5.17,52.04
2023-03-31,303.95,$3.40,89.4
2022-12-31,283.27,$1.65,171.68
2022-09-30,231.46,$2.03,114.02
2022-06-30,273.68,$2.56,106.91
2022-03-31,322.37,$3.12,103.32
2021-12-31,280.57,$3.07,91.39
2021-09-30,265.22,$2.66,99.71
2021-06-30,276.37,$2.53,109.24
2021-03-31,287.44,$2.41,119.27
2020-12-31,319.12,$2.72,117.32
2020-09-30,238.35,$3.42,69.69
2020-06-30,138.78,$3.40,40.82
2020-03-31,81.88,$3.36,24.37
2019-12-31,95.09,$2.89,32.9
2019-09-30,83.72,$2.13,39.31
2019-06-30,62.46,$2.27,27.52
2019-03-31,37.68,$2.33,16.17
2018-12-31,35.1,$2.69,13.05
2018-09-30,37.65,$2.84,13.26
2018-06-30,47.85,$2.50,19.14
2018-03-31,52.6,$2.28,23.07
2017-12-31,37.55,$1.85,20.3
2017-09-30,28.55,$1.43,19.97
2017-06-30,20.0,$1.20,16.67
2017-03-31,15.6,$1.09,14.31
2016-12-31,12.4,$1.29,9.61
2016-09-30,17.23,$1.84,9.36
2016-06-30,19.6,$1.78,11.01
2016-03-31,25.14,$1.39,18.09
2015-12-31,28.17,$0.88,32.01
