Consol Energy PE Ratio Historical Data,Consol Energy PE Ratio Historical Data,Consol Energy PE Ratio Historical Data,Consol Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,107.56,,7.96
2024-06-30,101.78,$13.51,7.53
2024-03-31,83.56,$16.49,5.07
2023-12-31,100.28,$19.65,5.1
2023-09-30,104.65,$19.99,5.24
2023-06-30,67.64,$21.13,3.2
2023-03-31,57.07,$19.73,2.89
2022-12-31,62.42,$13.05,4.78
2022-09-30,60.71,$10.96,5.54
2022-06-30,45.93,$3.41,13.47
2022-03-31,35.0,$-0.01,0.0
2021-12-31,21.12,$0.87,24.28
2021-09-30,24.2,$-1.94,0.0
2021-06-30,17.18,$1.08,15.91
2021-03-31,9.04,$0.27,33.48
2020-12-31,6.71,$0.06,111.76
2020-09-30,4.12,$-0.27,0.0
2020-06-30,4.72,$1.57,3.0
2019-12-31,13.49,$2.78,4.85
2019-09-30,14.54,$3.65,3.98
2019-06-30,24.75,$3.58,6.91
2019-03-31,31.83,$2.22,14.34
2018-12-31,29.49,$3.28,8.99
2020-03-31,3.43,$4.07,0.84
2018-09-30,37.95,$2.94,12.91
