PTC PE Ratio Historical Data,PTC PE Ratio Historical Data,PTC PE Ratio Historical Data,PTC PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,179.09,,73.1
2024-06-30,181.67,$2.45,74.15
2024-03-31,188.94,$2.39,79.05
2023-12-31,174.96,$1.97,88.81
2023-09-30,141.68,$2.05,69.11
2023-06-30,142.3,$2.57,55.37
2023-03-31,128.23,$2.66,48.21
2022-12-31,120.04,$2.89,41.54
2022-09-30,104.6,$2.65,39.47
2022-06-30,106.34,$4.21,25.26
2022-03-31,107.72,$4.04,26.66
2021-12-31,121.15,$4.20,28.85
2021-09-30,119.79,$4.01,29.87
2021-06-30,141.26,$2.01,70.28
2021-03-31,137.65,$1.88,73.22
2020-12-31,119.61,$1.02,117.26
2020-09-30,82.72,$1.13,73.2
2020-06-30,77.79,$0.75,103.72
2020-03-31,61.21,$0.55,111.29
2019-12-31,74.89,$0.39,192.03
2019-09-30,68.18,$0.26,262.23
2019-06-30,89.76,$0.29,309.52
2019-03-31,92.18,$0.33,279.33
2018-12-31,82.9,$0.50,165.8
2018-09-30,106.19,$0.44,241.34
2018-06-30,93.81,$0.48,195.44
2018-03-31,78.01,$0.33,236.39
2017-12-31,60.77,$0.25,243.08
2017-09-30,56.28,$0.05,1125.6
2017-06-30,55.12,$-0.35,0.0
2017-03-31,52.55,$-0.31,0.0
2016-12-31,46.27,$-0.35,0.0
2016-09-30,44.31,$-0.49,0.0
2016-06-30,37.58,$-0.16,0.0
2016-03-31,33.16,$-0.04,0.0
2015-12-31,34.63,$0.06,577.17
2015-09-30,31.74,$0.54,58.78
2015-06-30,41.02,$0.79,51.92
2015-03-31,36.17,$0.96,37.68
2014-12-31,36.65,$1.27,28.86
2014-09-30,36.9,$1.34,27.54
2014-06-30,38.8,$1.48,26.22
2014-03-31,35.42,$1.45,24.43
2013-12-31,35.39,$1.23,28.77
2013-09-30,28.46,$1.19,23.92
2013-06-30,24.53,$0.01,2453.0
2013-03-31,25.49,$-0.09,0.0
2012-12-31,22.51,$-0.20,0.0
2012-09-30,21.77,$-0.31,0.0
2012-06-30,20.96,$0.71,29.52
2012-03-31,27.94,$0.65,42.98
2011-12-31,18.26,$0.78,23.41
2011-09-30,15.38,$0.71,21.66
2011-06-30,22.93,$0.29,79.07
2011-03-31,22.49,$0.25,89.96
2010-12-31,22.53,$0.17,132.53
2010-09-30,19.54,$0.21,93.05
2010-06-30,15.67,$0.45,34.82
2010-03-31,18.05,$0.39,46.28
2009-12-31,16.34,$0.37,44.16
