Sumitomo Mitsui Financial Group Inc PE Ratio Historical Data,Sumitomo Mitsui Financial Group Inc PE Ratio Historical Data,Sumitomo Mitsui Financial Group Inc PE Ratio Historical Data,Sumitomo Mitsui Financial Group Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,13.05,,14.34
2024-06-30,13.41,$0.91,14.74
2023-12-31,9.54,$0.82,11.64
2023-06-30,8.33,$0.94,8.86
2022-06-30,5.43,$0.95,5.71
2021-06-30,6.1,$0.97,6.28
2020-06-30,4.71,$1.01,4.67
2019-06-30,5.58,$1.21,4.61
2018-06-30,5.89,$1.02,5.77
2017-06-30,5.74,$0.97,5.91
2015-06-30,6.01,$0.98,6.14
2015-03-31,5.24,$0.99,5.29
2014-12-31,4.92,$1.09,4.52
2014-09-30,5.55,$1.12,4.95
2014-06-30,5.73,$1.12,5.12
2014-03-31,5.85,$1.22,4.8
2013-12-31,7.1,$1.29,5.5
2013-09-30,6.58,$1.45,4.54
2013-06-30,6.11,$1.49,4.1
2016-06-30,4.02,$1.46,2.76
2013-03-31,5.41,$1.42,3.81
2012-12-31,4.78,$1.18,4.05
2012-09-30,4.03,$1.10,3.66
2012-06-30,4.25,$0.89,4.77
2012-03-31,4.25,$2.45,1.73
2011-12-31,3.46,$2.18,1.59
2011-09-30,3.43,$2.24,1.53
2011-06-30,3.7,$2.39,1.55
2011-03-31,3.76,$0.61,6.16
2010-09-30,3.37,$0.95,3.55
2010-06-30,3.29,$0.70,4.7
2010-03-31,3.82,$0.36,10.6
2009-12-31,3.35,$0.36,9.3
2009-09-30,3.98,$0.09,44.23
