Winnebago Industries PE Ratio Historical Data,Winnebago Industries PE Ratio Historical Data,Winnebago Industries PE Ratio Historical Data,Winnebago Industries PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,60.16,,23.23
2024-05-31,61.34,$2.59,23.69
2024-02-29,70.6,$3.34,21.14
2023-11-30,63.32,$5.29,11.97
2023-08-31,63.22,$6.24,10.13
2023-05-31,54.03,$7.57,7.14
2023-02-28,61.44,$9.43,6.51
2022-11-30,56.38,$10.60,5.32
2022-08-31,55.15,$11.77,4.69
2022-05-31,47.19,$11.61,4.07
2022-02-28,60.95,$10.08,6.05
2021-11-30,68.53,$9.09,7.54
2021-08-31,65.89,$7.44,8.86
2021-02-28,65.65,$4.62,14.21
2020-11-30,49.84,$3.09,16.13
2020-08-31,50.71,$1.83,27.71
2020-05-31,51.02,$1.59,32.09
2020-02-29,48.51,$3.10,15.65
2019-11-30,44.35,$3.27,13.56
2019-08-31,29.78,$3.53,8.44
2019-05-31,29.81,$3.46,8.61
2019-02-28,30.15,$2.89,10.43
2018-11-30,23.13,$3.00,7.71
2018-08-31,34.06,$2.91,11.7
2017-11-30,50.11,$2.45,20.45
2017-08-31,33.02,$2.30,14.35
2017-05-31,22.31,$2.00,11.16
2017-02-28,29.94,$1.92,15.59
2016-11-30,29.34,$1.79,16.39
2016-08-31,21.69,$1.69,12.83
2016-05-31,20.2,$1.63,12.4
2016-02-29,16.72,$2.12,7.89
2015-11-30,19.98,$2.20,9.08
2015-08-31,18.1,$2.18,8.3
2018-05-31,33.33,$2.12,15.72
2015-05-31,19.13,$1.58,12.1
2015-02-28,20.34,$1.57,12.96
2014-11-30,21.97,$3.32,6.62
2014-08-31,21.49,$3.30,6.51
2014-05-31,21.51,$3.22,6.68
2021-05-31,69.88,$3.18,21.97
2014-02-28,23.17,$1.40,16.55
2013-11-30,26.9,$1.27,21.18
2013-08-31,19.35,$1.56,12.4
2013-05-31,18.04,$1.44,12.53
2013-02-28,16.84,$2.58,6.53
2018-02-28,39.93,$2.49,16.04
2012-11-30,12.36,$1.77,6.98
2012-08-31,9.99,$1.55,6.45
2012-05-31,7.79,$0.26,29.95
2012-02-29,7.75,$0.17,45.59
2011-11-30,5.6,$0.31,18.05
2011-08-31,6.82,$0.40,17.05
2011-05-31,9.95,$0.45,22.11
2011-02-28,12.56,$0.62,20.27
2010-11-30,9.11,$0.53,17.18
2010-08-31,7.46,$0.35,21.3
2010-05-31,10.54,$-1.55,0.0
2010-02-28,10.15,$-2.05,0.0
2009-11-30,9.43,$-2.43,0.0
