CONMED PE Ratio Historical Data,CONMED PE Ratio Historical Data,CONMED PE Ratio Historical Data,CONMED PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,64.72,,20.61
2024-06-30,69.14,$3.14,22.02
2024-03-31,79.64,$2.61,30.51
2023-12-31,108.64,$2.04,53.25
2023-09-30,99.87,$1.85,53.98
2023-06-30,134.32,$2.83,47.46
2023-03-31,102.51,$-3.25,0.0
2022-12-31,87.3,$-2.84,0.0
2022-09-30,78.77,$-2.95,0.0
2022-06-30,93.89,$-3.96,0.0
2022-03-31,145.34,$2.10,69.21
2021-12-31,138.49,$1.94,71.39
2021-09-30,127.62,$2.00,63.81
2021-06-30,133.85,$1.76,76.05
2021-03-31,127.0,$0.39,325.64
2020-12-31,108.75,$0.28,388.38
2020-09-30,76.24,$-0.04,0.0
2020-06-30,69.61,$-0.04,0.0
2020-03-31,55.22,$1.11,49.75
2019-12-31,107.52,$0.95,113.18
2019-09-30,92.28,$1.00,92.28
2019-06-30,81.96,$0.97,84.5
2019-03-31,79.48,$1.08,73.6
2018-12-31,61.19,$1.41,43.4
2018-09-30,75.28,$2.52,29.87
2018-06-30,69.39,$2.58,26.89
2018-03-31,59.87,$2.12,28.24
2017-12-31,48.03,$1.99,24.14
2017-09-30,49.25,$0.60,82.09
2017-03-31,41.37,$0.44,94.02
2016-12-31,40.94,$0.52,78.74
2016-09-30,36.97,$0.56,66.02
2016-06-30,43.83,$0.62,70.69
2016-03-31,38.33,$0.79,48.52
2015-12-31,40.07,$1.10,36.43
2015-09-30,43.21,$1.23,35.13
2015-06-30,52.54,$0.98,53.61
2015-03-31,45.37,$1.08,42.01
2014-12-31,40.24,$1.07,37.61
2014-09-30,32.82,$1.02,32.18
2014-06-30,39.14,$1.15,34.03
2017-06-30,47.63,$1.12,42.53
2013-12-31,37.34,$1.27,29.4
2013-09-30,29.69,$1.29,23.01
2013-06-30,27.18,$1.40,19.42
2013-03-31,29.5,$1.38,21.38
2012-12-31,24.1,$1.37,17.59
2014-03-31,38.35,$1.34,28.62
2012-09-30,24.44,$0.13,187.98
2012-06-30,23.6,$0.10,235.97
2012-03-31,25.33,$0.04,633.26
2011-12-31,21.66,$-0.00,0.0
2011-09-30,19.41,$1.14,17.03
2011-06-30,24.03,$1.16,20.71
2011-03-31,22.17,$1.11,19.98
2010-12-31,22.3,$1.05,21.24
2010-09-30,18.91,$0.98,19.29
2010-06-30,15.72,$0.71,22.14
2010-03-31,20.09,$0.51,39.39
2009-12-31,19.24,$0.41,46.92
