Iron Mountain PE Ratio Historical Data,Iron Mountain PE Ratio Historical Data,Iron Mountain PE Ratio Historical Data,Iron Mountain PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,113.26,,145.21
2024-06-30,89.62,$0.78,114.9
2024-03-31,79.62,$0.66,120.64
2023-12-31,68.89,$0.63,109.36
2023-09-30,57.98,$0.95,61.03
2023-06-30,54.85,$1.30,42.2
2023-03-31,50.53,$1.98,25.52
2022-12-31,47.05,$1.90,24.76
2022-09-30,41.04,$1.69,24.28
2022-06-30,44.93,$1.26,35.66
2022-03-31,50.47,$1.53,32.99
2021-12-31,47.06,$1.55,30.36
2021-09-30,38.58,$2.20,17.54
2021-06-30,37.07,$2.10,17.65
2021-03-31,31.99,$1.13,28.31
2020-12-31,25.06,$1.10,22.78
2020-09-30,22.3,$0.61,36.56
2020-06-30,21.27,$0.80,26.59
2019-12-31,24.88,$0.92,27.05
2019-09-30,24.8,$1.34,18.51
2019-06-30,23.53,$1.20,19.6
2019-03-31,26.15,$1.21,21.61
2018-12-31,23.49,$1.27,18.49
2018-09-30,24.59,$0.80,30.73
2018-06-30,24.53,$0.66,37.17
2018-03-31,22.63,$0.63,35.93
2017-12-31,25.53,$0.69,37.01
2017-09-30,25.92,$0.80,32.41
2017-06-30,22.58,$0.74,30.52
2017-03-31,23.07,$0.38,60.71
2016-12-31,20.67,$0.38,54.41
2016-09-30,23.5,$0.49,47.96
2016-06-30,24.63,$0.49,50.26
2020-03-31,18.98,$0.66,28.75
2016-03-31,20.69,$0.69,29.99
2015-12-31,16.22,$0.58,27.97
2015-09-30,18.31,$0.61,30.02
2015-06-30,18.0,$0.50,35.99
2015-03-31,20.87,$1.65,12.65
2014-12-31,21.83,$1.68,12.99
2014-09-30,18.44,$1.87,9.86
2014-06-30,20.02,$1.89,10.59
2014-03-31,15.57,$0.63,24.71
2013-12-31,17.14,$0.51,33.6
2013-09-30,15.12,$0.40,37.81
2013-06-30,14.75,$0.69,21.38
2013-03-31,19.93,$0.77,25.88
2012-12-31,16.92,$0.99,17.09
2012-09-30,16.45,$1.03,15.97
2012-06-30,15.77,$0.91,17.33
2012-03-31,13.66,$1.93,7.08
2011-12-31,14.49,$1.77,8.19
2011-09-30,14.75,$0.83,17.78
2011-06-30,15.78,$0.84,18.79
2010-12-31,11.42,$-0.28,0.0
2010-09-30,10.13,$-0.14,0.0
2010-06-30,10.15,$0.99,10.26
2010-03-31,12.35,$1.00,12.35
2009-12-31,10.24,$1.31,7.82
2011-03-31,14.35,$1.15,12.48
