Vista Outdoor PE Ratio Historical Data,Vista Outdoor PE Ratio Historical Data,Vista Outdoor PE Ratio Historical Data,Vista Outdoor PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,44.18,,0.0
2024-06-30,37.65,$-0.13,0.0
2024-03-31,32.78,$-0.11,0.0
2023-12-31,29.57,$-5.98,0.0
2023-09-30,33.12,$-2.30,0.0
2023-06-30,27.67,$-1.44,0.0
2023-03-31,27.71,$-0.27,0.0
2022-12-31,24.37,$6.84,3.56
2022-09-30,24.32,$7.71,3.15
2022-06-30,27.9,$8.45,3.3
2022-03-31,35.69,$8.00,4.46
2021-12-31,46.07,$7.18,6.42
2021-09-30,40.31,$6.49,6.21
2021-06-30,46.28,$5.47,8.46
2021-03-31,32.07,$1.32,24.3
2020-12-31,23.76,$0.46,51.65
2020-09-30,20.18,$-1.06,0.0
2020-03-31,8.8,$-2.69,0.0
2019-12-31,7.48,$-1.09,0.0
2019-09-30,6.19,$-10.28,0.0
2019-06-30,8.88,$-10.64,0.0
2019-03-31,8.01,$-11.26,0.0
2018-12-31,11.35,$-10.70,0.0
2018-09-30,17.89,$-0.82,0.0
2018-06-30,15.49,$-2.26,0.0
2018-03-31,16.32,$-1.06,0.0
2017-12-31,14.57,$-0.09,0.0
2017-09-30,22.94,$-1.01,0.0
2017-06-30,22.51,$-5.44,0.0
2020-06-30,14.45,$-4.51,0.0
2017-03-31,20.59,$-4.72,0.0
2016-12-31,36.9,$-4.13,0.0
2016-09-30,39.86,$3.01,13.24
2016-06-30,47.73,$2.31,20.66
2016-03-31,51.91,$2.36,22.0
2015-12-31,44.51,$2.00,22.26
