Dana PE Ratio Historical Data,Dana PE Ratio Historical Data,Dana PE Ratio Historical Data,Dana PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,11.09,,0.0
2024-06-30,12.0,$-0.01,0.0
2024-03-31,12.49,$0.09,138.74
2023-12-31,14.25,$0.26,54.81
2023-09-30,14.19,$-0.72,0.0
2023-06-30,16.35,$-1.46,0.0
2023-03-31,14.37,$-1.61,0.0
2022-12-31,14.35,$-1.62,0.0
2022-09-30,10.78,$-0.04,0.0
2022-06-30,13.19,$0.93,14.18
2021-12-31,21.13,$1.35,15.65
2021-09-30,20.51,$1.44,14.24
2021-06-30,21.82,$1.23,17.74
2021-03-31,22.26,$1.18,18.86
2020-12-31,17.78,$-0.50,0.0
2022-03-31,16.36,$-0.51,0.0
2020-09-30,11.22,$-0.05,0.0
2020-06-30,11.1,$0.41,27.08
2020-03-31,7.11,$1.14,6.24
2019-12-31,16.46,$1.56,10.55
2019-09-30,12.99,$1.67,7.78
2019-06-30,17.93,$1.55,11.57
2019-03-31,15.86,$2.87,5.53
2018-12-31,12.12,$2.92,4.15
2018-09-30,16.49,$1.49,11.07
2018-06-30,17.75,$1.30,13.65
2018-03-31,22.55,$0.92,24.51
2017-12-31,27.92,$0.70,39.88
2017-09-30,24.34,$4.78,5.09
2017-06-30,19.39,$4.71,4.12
2017-03-31,16.72,$4.60,3.63
2016-12-31,16.38,$4.39,3.73
2016-09-30,13.4,$0.51,26.28
2016-06-30,9.04,$0.87,10.39
2016-03-31,12.01,$0.87,13.8
2015-12-31,11.7,$0.95,12.32
2015-09-30,13.42,$2.13,6.3
2015-06-30,17.33,$1.90,9.12
2015-03-31,17.77,$2.02,8.8
2014-12-31,18.22,$1.83,9.95
2014-09-30,16.02,$1.42,11.28
2014-06-30,20.37,$-0.26,0.0
2014-03-31,19.36,$-0.30,0.0
2013-12-31,16.29,$-0.30,0.0
2013-09-30,18.91,$-0.12,0.0
2013-06-30,15.91,$1.30,12.24
2013-03-31,14.69,$1.26,11.66
2012-12-31,12.82,$1.40,9.16
2012-09-30,10.07,$1.32,7.63
2012-06-30,10.45,$1.57,6.65
2012-03-31,12.59,$1.49,8.45
2011-12-31,9.84,$0.90,10.93
2011-09-30,8.5,$0.41,20.74
2011-06-30,14.82,$0.12,123.51
2011-03-31,14.08,$-0.20,0.0
2010-12-31,13.94,$-0.22,0.0
2010-09-30,9.98,$-1.81,0.0
2010-06-30,8.1,$-2.48,0.0
2010-03-31,9.62,$-2.56,0.0
2009-12-31,8.78,$-3.92,0.0
