Northwest Natural Gas PE Ratio Historical Data,Northwest Natural Gas PE Ratio Historical Data,Northwest Natural Gas PE Ratio Historical Data,Northwest Natural Gas PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,40.55,,18.6
2024-06-30,36.11,$2.18,16.56
2024-03-31,37.22,$2.28,16.32
2023-12-31,38.94,$2.60,14.98
2023-09-30,38.16,$2.75,13.88
2023-06-30,43.05,$2.84,15.16
2023-03-31,47.56,$2.86,16.63
2022-12-31,47.59,$2.65,17.96
2022-09-30,43.38,$2.60,16.68
2022-06-30,52.63,$2.49,21.14
2022-03-31,50.76,$2.42,20.97
2021-12-31,47.39,$2.56,18.51
2021-09-30,44.21,$2.95,14.99
2021-06-30,50.03,$3.03,16.51
2021-03-31,50.94,$2.89,17.63
2020-12-31,42.96,$2.51,17.12
2020-09-30,41.95,$2.01,20.87
2020-06-30,51.1,$1.97,25.94
2020-03-31,56.16,$2.17,25.88
2019-12-31,66.63,$2.10,31.73
2019-09-30,64.03,$2.14,29.92
2019-06-30,61.96,$2.36,26.26
2019-03-31,58.1,$2.29,25.37
2018-12-31,53.11,$2.24,23.71
2018-09-30,58.35,$-2.14,0.0
2018-06-30,55.24,$-2.03,0.0
2018-03-31,49.54,$-1.90,0.0
2017-12-31,50.84,$-1.94,0.0
2017-09-30,54.49,$2.20,24.77
2017-06-30,50.27,$2.21,22.74
2017-03-31,49.25,$2.18,22.59
2016-12-31,49.44,$2.11,23.43
2016-09-30,49.29,$2.19,22.51
2016-06-30,52.77,$2.24,23.56
2016-03-31,43.45,$2.25,19.31
2015-12-31,40.45,$1.96,20.64
2015-09-30,36.29,$1.92,18.9
2015-06-30,33.03,$1.84,17.95
2015-03-31,37.19,$1.80,20.66
2014-12-31,38.35,$1.83,20.96
2014-09-30,32.15,$0.48,66.97
2014-06-30,35.51,$0.88,40.35
2013-12-31,31.56,$2.24,14.09
2013-09-30,30.63,$2.22,13.8
2013-06-30,30.67,$3.93,7.8
2013-03-31,31.31,$3.46,9.05
2012-12-31,31.27,$2.11,14.82
2014-03-31,32.81,$2.57,12.76
2012-09-30,34.5,$2.26,15.27
2012-06-30,33.05,$2.34,14.12
2012-03-31,31.21,$2.37,13.17
2011-12-31,32.64,$2.39,13.66
2011-09-30,29.75,$2.41,12.34
2011-06-30,30.15,$2.44,12.36
2011-03-31,30.52,$2.62,11.65
2010-12-31,30.45,$2.73,11.15
2010-09-30,30.82,$2.80,11.01
2010-06-30,28.05,$2.83,9.91
2010-03-31,29.74,$2.69,11.06
2009-12-31,28.47,$2.84,10.03
