Danaos PE Ratio Historical Data,Danaos PE Ratio Historical Data,Danaos PE Ratio Historical Data,Danaos PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,83.12,,2.83
2024-06-30,91.48,$29.37,3.11
2024-03-31,70.89,$29.46,2.41
2023-12-31,71.93,$28.96,2.48
2023-09-30,63.58,$28.80,2.21
2023-06-30,63.42,$25.33,2.5
2023-03-31,51.21,$18.41,2.78
2022-12-31,48.77,$27.23,1.79
2022-09-30,50.88,$27.74,1.83
2022-06-30,57.08,$35.00,1.63
2022-03-31,91.95,$52.70,1.74
2021-12-31,66.41,$51.17,1.3
2021-09-30,72.36,$45.19,1.6
2021-06-30,67.37,$36.37,1.85
2021-03-31,43.17,$19.82,2.18
2020-12-31,18.65,$6.52,2.86
2020-09-30,6.39,$6.24,1.02
2020-06-30,3.25,$6.71,0.48
2020-03-31,3.48,$7.13,0.49
2019-12-31,7.99,$8.15,0.98
2019-09-30,7.83,$-5.83,0.0
2019-06-30,7.04,$2.76,2.55
2019-03-31,10.78,$1.49,7.23
2018-12-31,9.14,$1.26,7.25
2018-09-30,14.62,$16.39,0.89
2018-06-30,23.15,$8.40,2.75
2018-03-31,15.23,$10.22,1.49
2017-12-31,17.66,$10.64,1.66
2017-09-30,17.05,$-49.30,0.0
2017-06-30,20.71,$-53.22,0.0
2017-03-31,21.32,$-50.00,0.0
2016-12-31,32.28,$-46.78,0.0
2016-09-30,32.65,$11.06,2.95
2016-06-30,33.14,$17.51,1.89
2016-03-31,46.29,$16.67,2.78
2015-12-31,72.97,$14.99,4.87
2015-09-30,74.19,$7.56,9.81
2015-06-30,78.57,$5.04,15.58
2015-03-31,79.31,$2.24,35.39
2014-12-31,66.64,$-0.56,0.0
2014-09-30,62.62,$5.46,11.46
2014-06-30,71.63,$3.78,18.94
2014-03-31,91.37,$4.20,21.75
2013-12-31,59.69,$4.76,12.54
2013-09-30,48.36,$-9.52,0.0
2013-06-30,53.11,$-11.48,0.0
2013-03-31,51.16,$-12.89,0.0
2012-12-31,33.5,$-13.31,0.0
2012-09-30,38.86,$2.66,14.6
2012-06-30,50.56,$3.36,15.04
2012-03-31,48.0,$2.24,21.42
2011-12-31,40.81,$1.68,24.28
2011-09-30,40.44,$-0.56,0.0
2011-06-30,67.0,$-0.28,0.0
2011-03-31,82.59,$-4.06,0.0
2010-12-31,45.56,$-30.67,0.0
2010-09-30,53.97,$-33.75,0.0
2010-06-30,46.41,$-29.69,0.0
2010-03-31,51.41,$-21.85,0.0
2009-12-31,54.33,$9.24,5.88
