Xerox Holdings PE Ratio Historical Data,Xerox Holdings PE Ratio Historical Data,Xerox Holdings PE Ratio Historical Data,Xerox Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,11.07,,0.0
2024-06-30,11.62,$-1.05,0.0
2024-03-31,17.9,$-1.57,0.0
2023-12-31,18.33,$-0.20,0.0
2023-09-30,15.69,$1.04,15.09
2023-06-30,14.89,$-1.72,0.0
2023-03-31,15.15,$-1.36,0.0
2022-12-31,14.36,$-2.17,0.0
2022-09-30,12.86,$-6.88,0.0
2022-06-30,14.34,$-3.92,0.0
2022-03-31,19.16,$-3.41,0.0
2021-12-31,21.24,$-2.85,0.0
2021-09-30,18.72,$1.48,12.65
2021-06-30,21.54,$1.41,15.27
2021-03-31,22.02,$1.06,20.77
2020-12-31,20.82,$0.85,24.5
2020-09-30,16.67,$4.10,4.07
2020-06-30,13.4,$4.65,2.88
2020-03-31,16.33,$5.31,3.08
2019-12-31,31.35,$5.89,5.32
2019-09-30,25.26,$2.84,8.89
2019-06-30,29.66,$2.23,13.3
2019-03-31,26.6,$1.88,14.15
2018-12-31,16.31,$1.41,11.57
2018-09-30,21.99,$0.09,244.31
2018-06-30,19.38,$0.42,46.14
2018-03-31,23.0,$0.63,36.51
2017-12-31,23.1,$0.63,36.66
2017-09-30,26.15,$2.07,12.63
2017-06-30,22.41,$2.07,10.82
2017-03-31,22.7,$2.04,11.13
2016-12-31,18.4,$2.08,8.85
2016-09-30,21.18,$2.48,8.54
2016-06-30,19.69,$1.64,12.01
2016-03-31,22.96,$1.08,21.26
2015-12-31,21.71,$1.72,12.62
2015-09-30,19.75,$1.16,17.02
2015-06-30,21.44,$2.20,9.74
2015-03-31,25.73,$3.04,8.46
2014-12-31,27.59,$3.20,8.62
2014-09-30,26.22,$3.64,7.2
2014-06-30,24.54,$3.64,6.74
2014-03-31,22.18,$3.60,6.16
2013-12-31,23.75,$3.60,6.6
2013-09-30,19.99,$3.68,5.43
2013-06-30,17.52,$3.64,4.81
2013-03-31,16.51,$3.68,4.49
2012-12-31,13.0,$3.52,3.69
2012-09-30,13.91,$3.52,3.95
2012-06-30,14.83,$3.56,4.16
2012-03-31,15.13,$3.56,4.25
2011-12-31,14.84,$3.56,4.17
2011-09-30,12.92,$3.00,4.31
2011-06-30,19.19,$2.80,6.85
2011-03-31,19.55,$2.56,7.64
2010-12-31,21.06,$1.64,12.84
2010-09-30,18.85,$1.96,9.62
2010-06-30,14.59,$1.84,7.93
2010-03-31,17.6,$1.84,9.57
2009-12-31,15.21,$2.20,6.91
