Newmark PE Ratio Historical Data,Newmark PE Ratio Historical Data,Newmark PE Ratio Historical Data,Newmark PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,14.9,,57.31
2024-06-30,10.21,$0.26,39.25
2024-03-31,11.03,$0.22,50.15
2023-12-31,10.87,$0.25,43.5
2023-09-30,6.36,$0.09,70.61
2023-06-30,6.12,$0.18,34.01
2023-03-31,6.93,$0.40,17.33
2022-12-31,7.77,$0.46,16.9
2022-09-30,7.83,$1.15,6.81
2022-06-30,9.37,$1.63,5.75
2022-03-31,15.39,$3.50,4.4
2021-12-31,18.06,$3.66,4.93
2021-09-30,13.81,$2.89,4.78
2021-06-30,11.58,$2.65,4.37
2021-03-31,9.64,$0.51,18.91
2020-12-31,7.02,$0.38,18.47
2020-09-30,4.15,$0.33,12.59
2020-06-30,4.66,$0.42,11.1
2020-03-31,4.07,$0.54,7.53
2019-12-31,12.75,$0.59,21.61
2019-09-30,8.52,$0.76,11.2
2019-06-30,8.35,$0.71,11.76
2019-03-31,7.66,$0.60,12.77
2018-12-31,7.3,$0.64,11.41
2018-09-30,10.09,$0.21,48.06
