ImmunityBio PE Ratio Historical Data,ImmunityBio PE Ratio Historical Data,ImmunityBio PE Ratio Historical Data,ImmunityBio PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,3.44,,0.0
2024-06-30,6.32,$-0.97,0.0
2024-03-31,5.37,$-1.09,0.0
2023-12-31,5.02,$-1.16,0.0
2023-09-30,1.69,$-0.78,0.0
2023-06-30,2.78,$-0.87,0.0
2023-03-31,1.82,$-0.55,0.0
2022-12-31,5.07,$-0.54,0.0
2022-09-30,4.97,$-0.54,0.0
2022-06-30,3.72,$-0.26,0.0
2022-03-31,5.61,$-0.49,0.0
2021-12-31,6.08,$-0.23,0.0
2021-09-30,9.74,$-0.23,0.0
2021-06-30,14.28,$-0.23,0.0
2021-03-31,23.74,$-0.20,0.0
2020-12-31,13.33,$-0.39,0.0
2020-09-30,6.94,$-0.55,0.0
2020-06-30,12.28,$-0.71,0.0
2020-03-31,2.88,$-0.68,0.0
2019-12-31,3.79,$-0.71,0.0
2019-09-30,1.22,$-0.77,0.0
2019-06-30,1.02,$-0.91,0.0
2019-03-31,1.58,$-0.74,0.0
2018-12-31,1.16,$-0.87,0.0
2018-09-30,3.7,$-0.96,0.0
2018-06-30,3.06,$-0.96,0.0
2018-03-31,3.89,$-1.25,0.0
2017-12-31,4.49,$-1.20,0.0
2017-09-30,5.48,$-1.18,0.0
2017-06-30,7.59,$-1.27,0.0
2017-03-31,3.55,$-1.39,0.0
2016-12-31,5.72,$-1.47,0.0
2016-09-30,7.78,$-2.15,0.0
2016-06-30,6.22,$-2.31,0.0
