DENTSPLY SIRONA PE Ratio Historical Data,DENTSPLY SIRONA PE Ratio Historical Data,DENTSPLY SIRONA PE Ratio Historical Data,DENTSPLY SIRONA PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,24.39,,0.0
2024-06-30,24.76,$-0.86,0.0
2024-03-31,32.78,$-0.44,0.0
2023-12-31,34.99,$-0.62,0.0
2023-09-30,33.45,$-1.01,0.0
2023-06-30,39.03,$-4.77,0.0
2023-03-31,38.17,$-5.17,0.0
2022-12-31,30.83,$-4.78,0.0
2022-09-30,27.34,$-4.24,0.0
2022-06-30,34.31,$1.24,27.67
2022-03-31,47.11,$1.69,27.87
2021-12-31,53.26,$1.92,27.74
2021-09-30,55.31,$1.90,29.11
2021-06-30,60.16,$1.68,35.81
2021-03-31,60.58,$0.79,76.68
2020-12-31,49.63,$-0.37,0.0
2020-09-30,41.37,$-0.36,0.0
2020-06-30,41.58,$-0.23,0.0
2020-03-31,36.56,$0.37,98.81
2019-12-31,53.15,$1.17,45.43
2019-09-30,49.98,$0.72,69.42
2019-06-30,54.61,$0.47,116.19
2019-03-31,46.33,$-4.67,0.0
2018-12-31,34.71,$-4.49,0.0
2018-09-30,35.12,$-7.45,0.0
2018-06-30,40.63,$-7.19,0.0
2018-03-31,46.61,$-6.79,0.0
2017-12-31,60.89,$-6.88,0.0
2017-09-30,55.24,$-3.47,0.0
2017-06-30,59.8,$-3.47,0.0
2017-03-31,57.51,$1.55,37.1
2016-12-31,53.1,$1.99,26.68
2016-09-30,54.59,$1.94,28.14
2016-06-30,56.91,$2.14,26.6
2016-03-31,56.47,$2.01,28.09
2015-12-31,55.68,$1.76,31.64
2015-09-30,46.22,$1.94,23.83
2015-06-30,47.05,$1.87,25.16
2015-03-31,46.39,$2.18,21.28
2014-12-31,48.49,$2.23,21.74
2014-09-30,41.45,$2.15,19.28
2014-06-30,42.98,$2.18,19.72
2014-03-31,41.74,$2.16,19.32
2013-12-31,43.88,$2.15,20.41
2013-09-30,39.25,$2.52,15.57
2013-06-30,36.98,$2.34,15.8
2013-03-31,38.25,$2.30,16.63
2012-12-31,35.65,$2.18,16.35
2012-09-30,34.28,$1.58,21.7
2012-06-30,33.93,$1.63,20.82
2012-03-31,35.96,$1.59,22.62
2011-12-31,31.31,$1.70,18.42
2011-09-30,27.42,$1.89,14.51
2011-06-30,33.97,$1.91,17.78
2011-03-31,32.95,$1.88,17.53
2010-12-31,30.4,$1.81,16.79
2010-09-30,28.4,$1.84,15.43
2010-06-30,26.53,$1.85,14.34
2010-03-31,30.89,$1.83,16.88
2009-12-31,31.1,$1.83,16.99
