"USA Compression Partners, LP PE Ratio Historical Data","USA Compression Partners, LP PE Ratio Historical Data","USA Compression Partners, LP PE Ratio Historical Data","USA Compression Partners, LP PE Ratio Historical Data"
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,22.52,,42.49
2024-06-30,23.21,$0.53,43.8
2024-03-31,25.55,$0.41,62.31
2023-12-31,21.41,$0.21,101.97
2023-09-30,21.92,$0.15,146.17
2023-06-30,17.67,$0.03,589.1
2023-03-31,18.45,$-0.11,0.0
2022-12-31,16.62,$-0.19,0.0
2022-09-30,14.39,$-0.24,0.0
2022-06-30,13.4,$-0.29,0.0
2022-03-31,13.73,$-0.36,0.0
2021-12-31,13.17,$-0.39,0.0
2021-09-30,12.13,$-0.44,0.0
2021-06-30,11.68,$-0.42,0.0
2021-03-31,10.49,$-0.42,0.0
2020-12-31,9.01,$-6.66,0.0
2020-09-30,6.33,$-6.55,0.0
2020-06-30,6.57,$-6.47,0.0
2020-03-31,3.2,$-6.36,0.0
2019-12-31,9.94,$-0.02,0.0
2019-09-30,9.19,$0.02,459.5
2019-06-30,9.19,$-0.10,0.0
2019-03-31,7.83,$-0.75,0.0
2018-12-31,6.29,$-0.96,0.0
2018-09-30,8.0,$-0.90,0.0
2018-06-30,7.9,$-0.73,0.0
2018-03-31,7.72,$-0.09,0.0
2017-12-31,7.33,$0.16,45.82
2017-09-30,7.17,$0.14,51.24
2017-06-30,6.8,$0.03,226.78
2017-03-31,6.81,$0.08,85.13
2016-12-31,6.78,$0.30,22.61
2016-09-30,7.16,$-2.77,0.0
2016-06-30,5.4,$-2.52,0.0
2016-03-31,4.17,$-2.91,0.0
2015-12-31,3.89,$-2.91,0.0
2015-09-30,4.73,$0.29,16.3
2015-06-30,6.1,$0.19,32.12
2015-03-31,6.38,$0.73,8.73
2014-12-31,5.02,$0.59,8.51
2014-09-30,7.19,$0.53,13.56
2014-06-30,7.45,$0.47,15.85
2014-03-31,7.47,$0.35,21.35
2013-12-31,7.5,$0.32,23.44
