Adecoagro S.A PE Ratio Historical Data,Adecoagro S.A PE Ratio Historical Data,Adecoagro S.A PE Ratio Historical Data,Adecoagro S.A PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,11.39,,5.64
2024-06-30,9.73,$2.02,4.82
2024-03-31,10.86,$2.36,4.6
2023-12-31,10.93,$2.11,5.18
2023-09-30,11.34,$1.37,8.27
2023-06-30,9.08,$0.87,10.43
2023-03-31,7.7,$0.61,12.62
2022-12-31,7.89,$0.98,8.05
2022-09-30,7.75,$1.48,5.23
2022-06-30,7.9,$1.59,4.97
2022-03-31,11.13,$1.56,7.14
2021-12-31,7.08,$1.15,6.15
2021-09-30,8.32,$1.03,8.08
2021-06-30,9.25,$0.88,10.51
2021-03-31,7.24,$0.64,11.32
2020-12-31,6.27,$0.01,626.57
2020-09-30,4.3,$-0.32,0.0
2020-06-30,4.0,$-0.75,0.0
2020-03-31,3.58,$-0.45,0.0
2019-12-31,7.71,$-0.01,0.0
2019-09-30,5.37,$-0.13,0.0
2019-06-30,6.58,$0.17,38.7
2019-03-31,6.35,$-0.30,0.0
2018-12-31,6.41,$-0.21,0.0
2018-09-30,6.77,$-0.13,0.0
2018-06-30,7.33,$-0.20,0.0
2018-03-31,6.93,$0.10,69.29
2017-12-31,9.53,$0.08,119.09
2017-09-30,9.95,$0.14,71.08
2017-06-30,9.21,$0.22,41.84
2017-03-31,10.56,$0.04,263.99
2016-12-31,9.56,$0.01,956.44
2016-09-30,10.51,$-0.09,0.0
2016-06-30,10.11,$-0.12,0.0
2016-03-31,10.64,$0.04,266.06
2015-12-31,11.32,$0.14,80.89
2015-09-30,7.33,$0.03,244.49
2015-06-30,8.5,$0.10,84.96
2015-03-31,9.42,$0.10,94.17
2014-12-31,7.38,$0.01,0.0
2014-09-30,8.11,$0.12,67.57
2014-06-30,8.7,$-0.02,0.0
2014-03-31,7.52,$-0.25,0.0
2013-12-31,7.45,$-0.27,0.0
2013-09-30,6.83,$-0.23,0.0
2013-06-30,5.76,$-0.18,0.0
2013-03-31,7.09,$-0.19,0.0
2012-12-31,7.81,$-0.19,0.0
2012-09-30,9.27,$-0.23,0.0
2012-06-30,8.45,$-0.18,0.0
2012-03-31,9.96,$0.07,142.29
2011-12-31,7.62,$0.10,76.2
