BellRing Brands PE Ratio Historical Data,BellRing Brands PE Ratio Historical Data,BellRing Brands PE Ratio Historical Data,BellRing Brands PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,65.61,,39.29
2024-06-30,57.14,$1.67,34.22
2024-03-31,59.03,$1.44,40.99
2023-12-31,55.43,$1.24,44.7
2023-09-30,41.23,$1.24,33.25
2023-06-30,36.6,$1.14,32.11
2023-03-31,34.0,$1.10,30.91
2022-12-31,25.64,$0.89,28.81
2022-09-30,20.61,$0.77,26.77
2022-06-30,24.89,$0.77,32.32
2022-03-31,23.08,$0.72,32.06
2021-12-31,28.53,$0.72,39.63
2021-09-30,30.75,$0.71,43.31
2021-06-30,31.34,$0.72,43.53
2021-03-31,23.61,$0.56,42.16
2020-12-31,24.31,$0.65,37.4
2020-09-30,20.74,$0.60,34.57
