Benchmark Electronics PE Ratio Historical Data,Benchmark Electronics PE Ratio Historical Data,Benchmark Electronics PE Ratio Historical Data,Benchmark Electronics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,44.99,,24.06
2024-06-30,39.31,$1.87,21.02
2024-03-31,29.77,$1.83,16.27
2023-12-31,27.27,$1.80,15.15
2023-09-30,23.8,$1.91,12.46
2023-06-30,25.17,$1.87,13.46
2023-03-31,22.94,$1.97,11.64
2022-12-31,25.66,$1.93,13.29
2022-09-30,23.67,$1.68,14.09
2022-06-30,21.41,$1.38,15.52
2022-03-31,23.59,$1.09,21.64
2021-12-31,25.36,$1.00,25.36
2021-09-30,24.85,$0.86,28.89
2021-06-30,26.32,$0.79,33.31
2021-03-31,28.43,$0.50,56.86
2020-12-31,24.7,$0.38,65.01
2020-09-30,18.32,$-0.02,0.0
2020-06-30,19.48,$0.01,1948.24
2020-03-31,17.89,$0.34,52.63
2019-12-31,30.52,$0.58,52.62
2019-09-30,25.7,$1.41,18.23
2019-06-30,22.1,$1.39,15.9
2019-03-31,22.96,$-0.39,0.0
2018-12-31,18.42,$-0.38,0.0
2018-09-30,20.21,$-0.68,0.0
2017-12-31,24.72,$-0.66,0.0
2017-09-30,29.0,$1.25,23.2
2017-06-30,27.43,$1.13,24.28
2017-03-31,27.01,$1.23,21.96
2016-12-31,25.9,$1.30,19.93
2018-06-30,25.01,$1.15,21.75
2016-09-30,21.19,$1.69,12.54
2016-06-30,17.96,$1.65,10.89
2016-03-31,19.58,$1.79,10.94
2015-12-31,17.56,$1.84,9.54
2015-09-30,18.48,$1.52,12.16
2015-06-30,18.5,$1.44,12.85
2015-03-31,20.41,$1.45,14.08
2014-12-31,21.61,$1.53,14.12
2014-09-30,18.86,$2.32,8.13
2014-06-30,21.64,$2.43,8.91
2014-03-31,19.24,$2.18,8.82
2013-12-31,19.6,$2.04,9.61
2013-09-30,19.44,$1.13,17.2
2013-06-30,17.07,$1.04,16.41
2013-03-31,15.3,$1.12,13.67
2012-12-31,14.12,$1.01,13.98
2012-09-30,12.97,$0.73,17.77
2012-06-30,11.85,$0.73,16.23
2012-03-31,14.01,$0.73,19.19
2011-12-31,11.44,$0.88,13.0
2011-09-30,11.05,$1.14,9.69
2011-06-30,14.01,$1.17,11.98
2011-03-31,16.11,$0.44,36.62
2010-12-31,15.42,$0.52,29.66
2010-09-30,13.93,$0.50,27.86
2018-03-31,25.48,$0.39,65.34
2010-06-30,13.46,$1.13,11.91
2010-03-31,17.61,$0.98,17.97
2009-12-31,16.06,$0.83,19.35
