AtriCure PE Ratio Historical Data,AtriCure PE Ratio Historical Data,AtriCure PE Ratio Historical Data,AtriCure PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,28.57,,0.0
2024-06-30,22.77,$-0.86,0.0
2024-03-31,30.42,$-0.80,0.0
2023-12-31,35.69,$-0.66,0.0
2023-09-30,43.8,$-0.54,0.0
2023-06-30,49.36,$-0.61,0.0
2023-03-31,41.45,$-0.82,0.0
2022-12-31,44.38,$-1.01,0.0
2022-09-30,39.1,$-1.22,0.0
2022-06-30,40.86,$1.16,35.22
2022-03-31,65.67,$1.12,58.63
2021-12-31,69.53,$1.07,64.98
2021-09-30,69.55,$0.95,73.21
2021-06-30,79.33,$-1.27,0.0
2021-03-31,65.52,$-1.11,0.0
2020-12-31,55.67,$-1.15,0.0
2020-09-30,39.9,$-1.15,0.0
2020-06-30,44.95,$-1.29,0.0
2020-03-31,33.59,$-1.20,0.0
2019-12-31,32.51,$-0.93,0.0
2019-09-30,24.94,$-0.60,0.0
2019-06-30,29.84,$-0.57,0.0
2019-03-31,26.79,$-0.47,0.0
2018-12-31,30.6,$-0.63,0.0
2018-09-30,35.03,$-0.62,0.0
2018-06-30,27.05,$-0.62,0.0
2018-03-31,20.52,$-0.82,0.0
2017-12-31,18.24,$-0.83,0.0
2017-09-30,22.37,$-1.02,0.0
2017-06-30,24.25,$-1.01,0.0
2017-03-31,19.15,$-1.06,0.0
2016-12-31,19.57,$-1.05,0.0
2016-09-30,15.82,$-1.14,0.0
2016-06-30,14.13,$-1.15,0.0
2016-03-31,16.83,$-1.07,0.0
2015-12-31,22.44,$-0.95,0.0
2015-09-30,21.91,$-0.79,0.0
2015-06-30,24.64,$-0.59,0.0
2015-03-31,20.49,$-0.51,0.0
2014-12-31,19.96,$-0.63,0.0
2014-09-30,14.72,$-0.67,0.0
2014-06-30,18.38,$-0.78,0.0
2014-03-31,18.81,$-0.77,0.0
2013-12-31,18.68,$-0.56,0.0
2013-09-30,10.98,$-0.44,0.0
2013-06-30,9.5,$-0.47,0.0
2013-03-31,7.92,$-0.46,0.0
2012-12-31,6.9,$-0.46,0.0
2012-09-30,7.44,$-0.47,0.0
2012-06-30,9.61,$-0.38,0.0
2012-03-31,9.95,$-0.36,0.0
2011-12-31,11.1,$-0.34,0.0
2011-09-30,9.74,$-0.21,0.0
2011-06-30,12.9,$-0.21,0.0
2011-03-31,11.38,$-0.20,0.0
2010-12-31,10.27,$-0.25,0.0
2010-09-30,7.87,$-0.41,0.0
2010-06-30,6.65,$-0.66,0.0
2010-03-31,5.89,$-0.71,0.0
2009-12-31,6.04,$-1.14,0.0
